drug_concept_id,unique_people_count,concept_name,atc_code
907879,45607,miconazole,J02AB01
907879,45607,miconazole,S02AA13
710062,45504,amitriptyline,N06AA09
1550557,45095,prednisolone,A01AC04
1550557,45095,prednisolone,A07EA01
1550557,45095,prednisolone,C05AA04
1550557,45095,prednisolone,D07AA03
1550557,45095,prednisolone,D07XA02
1550557,45095,prednisolone,H02AB06
1550557,45095,prednisolone,R01AD02
1550557,45095,prednisolone,S01BA04
1550557,45095,prednisolone,S01CB02
1550557,45095,prednisolone,S02BA03
1550557,45095,prednisolone,S03BA02
1112807,44602,aspirin,A01AD05
1112807,44602,aspirin,B01AC06
1112807,44602,aspirin,N02BA01
523283,44540,,
523365,43913,,
523367,43913,,
989878,43733,lidocaine,C01BB01
989878,43733,lidocaine,C05AD01
989878,43733,lidocaine,D04AB01
989878,43733,lidocaine,N01BB02
989878,43733,lidocaine,R02AD02
989878,43733,lidocaine,S01HA07
989878,43733,lidocaine,S02DA01
915981,43591,neomycin,A01AB08
915981,43591,neomycin,A07AA01
915981,43591,neomycin,B05CA09
915981,43591,neomycin,D06AX04
915981,43591,neomycin,J01GB05
915981,43591,neomycin,R02AB01
915981,43591,neomycin,S01AA03
915981,43591,neomycin,S02AA07
915981,43591,neomycin,S03AA01
1149196,42340,cetirizine,S01GX12
1149196,42340,cetirizine,R06AE07
1545958,41968,atorvastatin,C10AA05
1750500,40115,clarithromycin,J01FA09
1729720,39941,penicillin V,J01CE02
36878782,39377,,
1360332,38633,glucosamine,M01AX05
1332418,36850,amlodipine,C08CA01
19005129,36685,clobetasone,D07AB01
19005129,36685,clobetasone,S01BA09
1395573,36475,chondroitin sulfates,M01AX25
1548195,36396,estradiol,G03CA03
1189596,36257,dihydrocodeine,N02AA08
752061,36205,prochlorperazine,N05AB04
905233,34877,mometasone,D07AC13
905233,34877,mometasone,D07XC03
905233,34877,mometasone,R01AD09
905233,34877,mometasone,R03BA07
1707164,34263,metronidazole,A01AB17
1707164,34263,metronidazole,D06BX01
1707164,34263,metronidazole,G01AF01
1707164,34263,metronidazole,J01XD01
1707164,34263,metronidazole,P01AB01
1786621,33677,cephalexin,J01DB01
1334456,33445,ramipril,C09AA05
922570,33428,nystatin,A07AA02
922570,33428,nystatin,D01AA01
922570,33428,nystatin,G01AA01
1103314,33341,tramadol,N02AX02
723013,33257,diazepam,N05BA01
1518254,32401,dexamethasone,A01AC02
1518254,32401,dexamethasone,C05AA09
1518254,32401,dexamethasone,D07AB19
1518254,32401,dexamethasone,D07XB05
1518254,32401,dexamethasone,D10AA03
1518254,32401,dexamethasone,H02AB02
1518254,32401,dexamethasone,R01AD03
1518254,32401,dexamethasone,S01BA01
1518254,32401,dexamethasone,S01CB01
1518254,32401,dexamethasone,S02BA06
1518254,32401,dexamethasone,S03BA01
1316354,31749,bendroflumethiazide,C03AA01
1149380,31273,fluticasone,D07AC17
1149380,31273,fluticasone,R01AD08
1149380,31273,fluticasone,R03BA05
908523,31098,mineral oil,A06AA01
1741309,30923,terbinafine,D01AE15
1741309,30923,terbinafine,D01BA02
1521369,30543,norethindrone,G03AC01
1521369,30543,norethindrone,G03DC02
19033354,30468,,
19035704,30455,calcium carbonate,A02AC01
19035704,30455,calcium carbonate,A12AA04
925952,29658,oxytetracycline,A01AB25
925952,29658,oxytetracycline,D06AA03
925952,29658,oxytetracycline,G01AA07
925952,29658,oxytetracycline,J01AA06
925952,29658,oxytetracycline,S01AA04
19095164,29587,cholecalciferol,A11CC05
1797513,27896,ciprofloxacin,J01MA02
1797513,27896,ciprofloxacin,S01AE03
1797513,27896,ciprofloxacin,S02AA15
1797513,27896,ciprofloxacin,S03AA07
920293,27228,nitrofurantoin,J01XE01
1790812,26724,chlorhexidine,A01AB03
1790812,26724,chlorhexidine,B05CA02
1790812,26724,chlorhexidine,D08AC02
1790812,26724,chlorhexidine,D09AA12
1790812,26724,chlorhexidine,R02AA05
1790812,26724,chlorhexidine,S01AX09
1790812,26724,chlorhexidine,S02AA09
1790812,26724,chlorhexidine,S03AA04
532881,26267,,
797617,25495,citalopram,N06AB04
929549,25341,acetic acid,G01AD02
929549,25341,acetic acid,S02AA10
1107830,25169,loratadine,R06AX13
19008994,24837,mebeverine,A03AA04
961047,23903,ranitidine,A02BA02
964407,23804,salicylic acid,D01AE12
964407,23804,salicylic acid,S01BC08
987245,23209,lactulose,A06AD11
19129738,22835,,
1703687,22764,acyclovir,D06BB03
1703687,22764,acyclovir,J05AB01
1703687,22764,acyclovir,S01AD03
1506270,22488,methylprednisolone,D07AA01
1506270,22488,methylprednisolone,D10AA02
1506270,22488,methylprednisolone,H02AB04
1314002,22390,atenolol,C07AB03
986417,22340,,
939506,21883,sodium bicarbonate,B05CB04
939506,21883,sodium bicarbonate,B05XA02
19044883,21741,zopiclone,N05CF01
755695,21655,fluoxetine,N06AB03
1361711,21381,nitroglycerin,C01DA02
1361711,21381,nitroglycerin,C05AE01
44814322,21242,,
19011773,20735,ascorbic acid,G01AD03
19011773,20735,ascorbic acid,S01XA15
19011773,20735,ascorbic acid,A11GA01
1396131,20020,ferrous sulfate,B03AA07
19018544,20004,,
923840,19630,dibucaine,C05AD04
923840,19630,dibucaine,D04AB02
923840,19630,dibucaine,N01BB06
923840,19630,dibucaine,S01HA06
923840,19630,dibucaine,S02DA04
1754994,19359,fluconazole,D01AC15
1754994,19359,fluconazole,J02AC01
19049024,19315,,
1338005,18910,bisoprolol,C07AB07
1549080,18837,"estrogens, conjugated (USP)",G03CA57
45775351,18681,,
19136048,18672,,
1501700,18394,,
916460,17886,benzalkonium,D08AJ01
916460,17886,benzalkonium,D09AA11
916460,17886,benzalkonium,R02AA16
1146810,17736,piroxicam,M01AC01
1146810,17736,piroxicam,M02AA07
1146810,17736,piroxicam,S01BC06
1353766,17717,propranolol,C07AA05
1153664,16642,propoxyphene,N02AC04
1316262,16161,sildenafil,G04BE03
40798976,16035,,
