drug_concept_id,concept_name,atc_code
19093848,magnesium sulfate,D11AX05
19093848,magnesium sulfate,V04CC02
1154029,fentanyl,N01AH01
1154029,fentanyl,N02AB03
1305058,methotrexate,L01BA01
1305058,methotrexate,L04AX03
43013634,,
36878870,,
916460,benzalkonium,D08AJ01
916460,benzalkonium,D09AA11
916460,benzalkonium,R02AA16
1140643,sumatriptan,N02CC01
1125315,acetaminophen,N02BE01
19030751,alverine,A03AX08
1316354,bendroflumethiazide,C03AA01
19047076,pizotyline,N02CX01
922868,permethrin,P03AC04
725131,mirtazapine,N06AX11
710062,amitriptyline,N06AA09
43531973,,
19011028,,
1328165,diltiazem,C08DB01
1328165,diltiazem,C05AE03
1760616,quinine,P01BC01
990069,chloramphenicol,D06AX02
990069,chloramphenicol,D10AF03
990069,chloramphenicol,G01AA05
990069,chloramphenicol,J01BA01
990069,chloramphenicol,S01AA01
990069,chloramphenicol,S02AA01
990069,chloramphenicol,S03AA08
937725,,
718583,nicotine,N07BA01
1717327,ampicillin,J01CA01
1717327,ampicillin,S01AA19
939259,budesonide,A07EA06
939259,budesonide,D07AC09
939259,budesonide,R01AD05
939259,budesonide,R03BA02
1501700,,
991876,loperamide,A07DA03
923645,omeprazole,A02BC01
1703687,acyclovir,D06BB03
1703687,acyclovir,J05AB01
1703687,acyclovir,S01AD03
922570,nystatin,A07AA02
922570,nystatin,D01AA01
922570,nystatin,G01AA01
797617,citalopram,N06AB04
714684,nefazodone,N06AX06
1550557,prednisolone,A01AC04
1550557,prednisolone,A07EA01
1550557,prednisolone,C05AA04
1550557,prednisolone,D07AA03
1550557,prednisolone,D07XA02
1550557,prednisolone,H02AB06
1550557,prednisolone,R01AD02
1550557,prednisolone,S01BA04
1550557,prednisolone,S01CB02
1550557,prednisolone,S02BA03
1550557,prednisolone,S03BA02
19014977,nicorandil,C01DX16
19115055,,
1177480,ibuprofen,C01EB16
1177480,ibuprofen,G02CC01
1177480,ibuprofen,M01AE01
1177480,ibuprofen,M02AA13
1177480,ibuprofen,R02AX02
1790812,chlorhexidine,A01AB03
1790812,chlorhexidine,B05CA02
1790812,chlorhexidine,D08AC02
1790812,chlorhexidine,D09AA12
1790812,chlorhexidine,R02AA05
1790812,chlorhexidine,S01AX09
1790812,chlorhexidine,S02AA09
1790812,chlorhexidine,S03AA04
1738521,doxycycline,A01AB22
1738521,doxycycline,J01AA02
43532069,,
777221,hydroxyzine,N05BB01
908523,mineral oil,A06AA01
911064,,
797399,gabapentin,N02BF01
908464,magnesium carbonate,A02AA01
908464,magnesium carbonate,A06AD01
1197736,,
19020124,betahistine,N07CA01
740275,carbamazepine,N03AF01
1137529,salmeterol,R03AC12
1383815,,
977968,sodium citrate,B05CB02
1000995,,
19008867,,
975125,hydrocortisone,A01AC03
975125,hydrocortisone,A07EA02
975125,hydrocortisone,C05AA01
975125,hydrocortisone,D07AA02
975125,hydrocortisone,D07XA01
975125,hydrocortisone,H02AB09
975125,hydrocortisone,S01BA02
975125,hydrocortisone,S01CB03
975125,hydrocortisone,S02BA01
1759842,,
920293,nitrofurantoin,J01XE01
964407,salicylic acid,D01AE12
964407,salicylic acid,S01BC08
1124300,diclofenac,D11AX18
1124300,diclofenac,M01AB05
1124300,diclofenac,M02AA15
1124300,diclofenac,S01BC03
19010400,,
1195334,,
1750500,clarithromycin,J01FA09
1704758,triclosan,D08AE04
1704758,triclosan,D09AA06
704943,methocarbamol,M03BA03
721724,nortriptyline,N06AA10
1036525,sulfur,D10AB02
987245,lactulose,A06AD11
1133201,buprenorphine,N02AE01
1133201,buprenorphine,N07BC01
1115008,naproxen,G02CC02
1115008,naproxen,M01AE02
1115008,naproxen,M02AA12
19019620,benzydamine,A01AD02
19019620,benzydamine,G02CC03
19019620,benzydamine,M01AX07
19019620,benzydamine,M02AA05
19019620,benzydamine,R02AX03
19092353,lymecycline,J01AA04
1332418,amlodipine,C08CA01
939506,sodium bicarbonate,B05CB04
939506,sodium bicarbonate,B05XA02
1149380,fluticasone,D07AC17
1149380,fluticasone,R01AD08
1149380,fluticasone,R03BA05
1707164,metronidazole,A01AB17
1707164,metronidazole,D06BX01
1707164,metronidazole,G01AF01
1707164,metronidazole,J01XD01
1707164,metronidazole,P01AB01
19081195,buclizine,R06AE01
43012199,chloroform,N01AB02
1545958,atorvastatin,C10AA05
19091830,lofepramine,N06AA07
42900497,,
19024213,pholcodine,R05DA08
1152631,cromolyn,A07EB01
1152631,cromolyn,D11AH03
1152631,cromolyn,R01AC01
1152631,cromolyn,R03BC01
1152631,cromolyn,S01GX01
925952,oxytetracycline,A01AB25
925952,oxytetracycline,D06AA03
925952,oxytetracycline,G01AA07
925952,oxytetracycline,J01AA06
925952,oxytetracycline,S01AA04
715939,escitalopram,N06AB10
945913,,
19035704,calcium carbonate,A02AC01
19035704,calcium carbonate,A12AA04
715259,duloxetine,N06AX21
989878,lidocaine,C01BB01
989878,lidocaine,C05AD01
989878,lidocaine,D04AB01
989878,lidocaine,N01BB02
989878,lidocaine,R02AD02
989878,lidocaine,S01HA07
989878,lidocaine,S02DA01
705103,lamotrigine,N03AX09
1729720,penicillin V,J01CE02
1154332,pseudoephedrine,R01BA02
1343916,epinephrine,A01AD01
1343916,epinephrine,B02BC09
1343916,epinephrine,C01CA24
1343916,epinephrine,R01AA14
1343916,epinephrine,R03AA01
1343916,epinephrine,S01EA01
733301,buspirone,N05BE01
1192710,chlorpheniramine,R06AB04
19008994,mebeverine,A03AA04
752061,prochlorperazine,N05AB04
19015602,nefopam,N02BG06
703547,trazodone,N06AX05
19036946,benzyl benzoate,P03AX01
40234201,butylscopolamine,A03BB01
1140123,acrivastine,R06AX18
1000632,clotrimazole,A01AB18
1000632,clotrimazole,D01AC01
1000632,clotrimazole,G01AF02
1768849,cefaclor,J01DC04
1115572,beclomethasone,A07EA07
1115572,beclomethasone,D07AC15
1115572,beclomethasone,R01AD01
1115572,beclomethasone,R03BA01
961145,glycerin,A06AG04
961145,glycerin,A06AX01
836715,temazepam,N05CD07
922976,,
19011355,etoricoxib,M01AH05
739138,sertraline,N06AB06
923840,dibucaine,C05AD04
923840,dibucaine,D04AB02
923840,dibucaine,N01BB06
923840,dibucaine,S01HA06
923840,dibucaine,S02DA04
996541,,
929549,acetic acid,G01AD02
929549,acetic acid,S02AA10
1153664,propoxyphene,N02AC04
932196,cisapride,A03FA02
908730,,
924724,dicyclomine,A03AA07
19033354,,
42800417,,
19055156,flumethasone,D07AB03
19055156,flumethasone,D07XB01
19049038,estriol,G03CA04
19049038,estriol,G03CC06
1149196,cetirizine,S01GX12
1149196,cetirizine,R06AE07
700299,thioridazine,N05AC02
42898572,,
715233,baclofen,M03BX01
985247,aluminum hydroxide,A02AB01
1103374,valdecoxib,M01AH03
19003568,,
907879,miconazole,A01AB09
907879,miconazole,A07AC01
907879,miconazole,D01AC02
907879,miconazole,G01AF04
907879,miconazole,J02AB01
907879,miconazole,S02AA13
1116031,zolmitriptan,N02CC03
1112807,aspirin,A01AD05
1112807,aspirin,B01AC06
1112807,aspirin,N02BA01
1154077,rizatriptan,N02CC04
1754994,fluconazole,D01AC15
1754994,fluconazole,J02AC01
1118084,celecoxib,L01XX33
1118084,celecoxib,M01AH01
1713332,amoxicillin,J01CA04
1154343,albuterol,R03AC02
1154343,albuterol,R03CC02
1361711,nitroglycerin,C01DA02
1361711,nitroglycerin,C05AE01
723013,diazepam,N05BA01
916662,dimethicone,P03AX05
19097481,cinnarizine,N07CA02
45892419,gentamicin,D06AX07
45892419,gentamicin,J01GB03
45892419,gentamicin,S01AA11
45892419,gentamicin,S02AA14
45892419,gentamicin,S03AA06
19054936,floxacillin,J01CF05
913782,tolterodine,G04BD07
1549080,"estrogens, conjugated (USP)",G03CA57
704984,trifluoperazine,N05AB06
1548195,estradiol,G03CA03
1113648,nabumetone,M01AX01
19053565,periciazine,N05AC01
906780,metoclopramide,A03FA01
1154161,montelukast,R03DC03
1377141,hydroxyurea,L01XX05
908921,calcipotriene,D05AX02
44816294,apremilast,L04AA32
42898952,,
920458,betamethasone,A07EA04
920458,betamethasone,C05AA05
920458,betamethasone,D07AC01
920458,betamethasone,D07XC01
920458,betamethasone,H02AB01
920458,betamethasone,R01AD06
920458,betamethasone,R03BA04
920458,betamethasone,S01BA06
920458,betamethasone,S01CB04
920458,betamethasone,S02BA07
920458,betamethasone,S03BA03
992956,magnesium hydroxide,A02AA04
992956,magnesium hydroxide,G04BX01
778268,imipramine,N06AA02
980867,clioquinol,D08AH30
980867,clioquinol,D09AA10
980867,clioquinol,G01AC02
980867,clioquinol,P01AA02
980867,clioquinol,S02AA05
950637,tacrolimus,D11AH01
950637,tacrolimus,L04AD02
955372,ethanol,D08AX08
955372,ethanol,V03AB16
955372,ethanol,V03AZ01
1153428,fexofenadine,R06AX26
19086939,,
19030059,alginic acid,A02BX13
944360,zinc pyrithione,D11AX12
19058343,,
19084696,,
755695,fluoxetine,N06AB03
903963,triamcinolone,A01AC01
903963,triamcinolone,C05AA12
903963,triamcinolone,D07AB09
903963,triamcinolone,D07XB02
903963,triamcinolone,H02AB08
903963,triamcinolone,R01AD11
903963,triamcinolone,R03BA06
903963,triamcinolone,S01BA05
1334456,ramipril,C09AA05
912362,ammonium chloride,B05XA04
912362,ammonium chloride,G04BA01
