	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c8	_c9	_c11	_c12	_c13	_c14	_c16	_c17
33	1195334	1195334	choline	Drug	RxNorm	Ingredient	S	2449	1970-01-01	2099-12-31		2449	ENG	12250981	12250981	2449	RXNORM	IN	2449	choline	N	4096.0
34	19097481	19097481	cinnarizine	Drug	RxNorm	Ingredient	S	2549	1970-01-01	2099-12-31		2549	ENG	12252698	12252698	2549	RXNORM	IN	2549	cinnarizine	N	
35	997496	997496	cinoxacin	Drug	RxNorm	Ingredient	S	2550	1970-01-01	2099-12-31		2550	ENG	12252083	12252083	2550	RXNORM	IN	2550	cinoxacin	N	
36	998415	998415	clobetasol	Drug	RxNorm	Ingredient	S	2590	1970-01-01	2099-12-31		2590	ENG	12252084	12252084	2590	RXNORM	IN	2590	clobetasol	N	4096.0
37	19099181	19099181	clopamide	Drug	RxNorm	Ingredient	S	2603	1970-01-01	2099-12-31		2603	ENG	12252700	12252700	2603	RXNORM	IN	2603	clopamide	N	
38	1000995	1000995	coal tar	Drug	RxNorm	Ingredient	S	2635	1970-01-01	2099-12-31		2635	ENG	12250983	12250983	2635	RXNORM	IN	2635	coal tar	N	4096.0
39	19101604	19101604	cod liver oil	Drug	RxNorm	Ingredient	S	2669	1970-01-01	2099-12-31		2669	ENG	12250985	12250985	2669	RXNORM	IN	2669	cod liver oil	N	4096.0
40	909358	909358	cyclizine	Drug	RxNorm	Ingredient	S	2977	1970-01-01	2099-12-31		2977	ENG	12252091	12252091	2977	RXNORM	IN	2977	cyclizine	N	
41	19072083	19072083	cyclofenil	Drug	RxNorm	Ingredient	S	2983	1970-01-01	2099-12-31		2983	ENG	12250459	12250459	2983	RXNORM	IN	2983	cyclofenil	N	
42	711714	711714	dantrolene	Drug	RxNorm	Ingredient	S	3105	1970-01-01	2099-12-31		3105	ENG	12250460	12250460	3105	RXNORM	IN	3105	dantrolene	N	4096.0
43	1517070	1517070	desmopressin	Drug	RxNorm	Ingredient	S	3251	1970-01-01	2099-12-31		3251	ENG	2959870	2959870	3251	RXNORM	IN	3251	desmopressin	N	4096.0
44	1319156	1319156	dextran 70	Drug	RxNorm	Ingredient	S	3274	1970-01-01	2099-12-31		3274	ENG	12250995	12250995	3274	RXNORM	IN	3274	dextran 70	N	4096.0
45	19021940	19021940	dextromoramide	Drug	RxNorm	Ingredient	S	3290	1970-01-01	2099-12-31		3290	ENG	12251562	12251562	3290	RXNORM	IN	3290	dextromoramide	N	
46	1724869	1724869	didanosine	Drug	RxNorm	Ingredient	S	3364	1970-01-01	2099-12-31		3364	ENG	12252101	12252101	3364	RXNORM	IN	3364	didanosine	N	4096.0
47	930916	930916	diphenoxylate	Drug	RxNorm	Ingredient	S	3500	1970-01-01	2099-12-31		3500	ENG	12254436	12254436	3500	RXNORM	IN	3500	diphenoxylate	N	4096.0
48	1335606	1335606	disopyramide	Drug	RxNorm	Ingredient	S	3541	1970-01-01	2099-12-31		3541	ENG	12254437	12254437	3541	RXNORM	IN	3541	disopyramide	N	4096.0
49	1143374	1143374	ephedrine	Drug	RxNorm	Ingredient	S	3966	1970-01-01	2099-12-31		3966	ENG	12252715	12252715	3966	RXNORM	IN	3966	ephedrine	N	4096.0
50	1548195	1548195	estradiol	Drug	RxNorm	Ingredient	S	4083	1970-01-01	2099-12-31		4083	ENG	12254440	12254440	4083	RXNORM	IN	4083	estradiol	N	4096.0
51	1549254	1549254	estrone	Drug	RxNorm	Ingredient	S	4103	1970-01-01	2099-12-31		4103	ENG	12251003	12251003	4103	RXNORM	IN	4103	estrone	N	
52	1749301	1749301	ethambutol	Drug	RxNorm	Ingredient	S	4110	1970-01-01	2099-12-31		4110	ENG	12251004	12251004	4110	RXNORM	IN	4110	ethambutol	N	4096.0
53	953076	953076	famotidine	Drug	RxNorm	Ingredient	S	4278	1970-01-01	2099-12-31		4278	ENG	12253293	12253293	4278	RXNORM	IN	4278	famotidine	N	4096.0
54	1154029	1154029	fentanyl	Drug	RxNorm	Ingredient	S	4337	1970-01-01	2099-12-31		4337	ENG	12253296	12253296	4337	RXNORM	IN	4337	fentanyl	N	4096.0
55	1555120	1555120	fludrocortisone	Drug	RxNorm	Ingredient	S	4452	1970-01-01	2099-12-31		4452	ENG	12252123	12252123	4452	RXNORM	IN	4452	fludrocortisone	N	4096.0
56	19055156	19055156	flumethasone	Drug	RxNorm	Ingredient	S	4458	1970-01-01	2099-12-31		4458	ENG	12252725	12252725	4458	RXNORM	IN	4458	flumethasone	N	4096.0
57	955252	955252	fluocinonide	Drug	RxNorm	Ingredient	S	4462	1970-01-01	2099-12-31		4462	ENG	12252126	12252126	4462	RXNORM	IN	4462	fluocinonide	N	4096.0
58	755695	755695	fluoxetine	Drug	RxNorm	Ingredient	S	4493	1970-01-01	2099-12-31		4493	ENG	12253888	12253888	4493	RXNORM	IN	4493	fluoxetine	N	4096.0
59	1356461	1356461	flutamide	Drug	RxNorm	Ingredient	S	4508	1970-01-01	2099-12-31		4508	ENG	12252130	12252130	4508	RXNORM	IN	4508	flutamide	N	4096.0
60	956874	956874	furosemide	Drug	RxNorm	Ingredient	S	4603	1970-01-01	2099-12-31		4603	ENG	12250481	12250481	4603	RXNORM	IN	4603	furosemide	N	4096.0
61	19059796	19059796	gliclazide	Drug	RxNorm	Ingredient	S	4816	1970-01-01	2099-12-31		4816	ENG	12252729	12252729	4816	RXNORM	IN	4816	gliclazide	N	
62	19060985	19060985	glutamine	Drug	RxNorm	Ingredient	S	4885	1970-01-01	2099-12-31		4885	ENG	12251578	12251578	4885	RXNORM	IN	4885	glutamine	N	4096.0
63	962398	962398	glycine	Drug	RxNorm	Ingredient	S	4919	1970-01-01	2099-12-31		4919	ENG	12252139	12252139	4919	RXNORM	IN	4919	glycine	N	4096.0
64	1563600	1563600	chorionic gonadotropin	Drug	RxNorm	Ingredient	S	4986	1970-01-01	2099-12-31		4986	ENG	12254453	12254453	4986	RXNORM	IN	4986	chorionic gonadotropin	N	4096.0
65	19113045	19113045	heparinoids	Drug	RxNorm	Ingredient	S	5228	1970-01-01	2099-12-31		5228	ENG	12252733	12252733	5228	RXNORM	IN	5228	heparinoids	N	
66	19068839	19068839	hexetidine	Drug	RxNorm	Ingredient	S	5301	1970-01-01	2099-12-31		5301	ENG	12252141	12252141	5301	RXNORM	IN	5301	hexetidine	N	
67	969004	969004	hexylresorcinol	Drug	RxNorm	Ingredient	S	5321	1970-01-01	2099-12-31		5321	ENG	12252142	12252142	5321	RXNORM	IN	5321	hexylresorcinol	N	4096.0
68	1177480	1177480	ibuprofen	Drug	RxNorm	Ingredient	S	5640	1970-01-01	2099-12-31		5640	ENG	12254458	12254458	5640	RXNORM	IN	5640	ibuprofen	N	4096.0
69	1383815	1383815	isosorbide	Drug	RxNorm	Ingredient	S	6057	1970-01-01	2099-12-31		6057	ENG	12252152	12252152	6057	RXNORM	IN	6057	isosorbide	N	4096.0
70	1383925	1383925	isosorbide dinitrate	Drug	RxNorm	Ingredient	S	6058	1970-01-01	2099-12-31		6058	ENG	12252153	12252153	6058	RXNORM	IN	6058	isosorbide dinitrate	N	4096.0
71	986117	986117	ketotifen	Drug	RxNorm	Ingredient	S	6146	1970-01-01	2099-12-31		6146	ENG	12253904	12253904	6146	RXNORM	IN	6146	ketotifen	N	4096.0
72	19087208	19087208	lactose	Drug	RxNorm	Ingredient	S	6211	1970-01-01	2099-12-31		6211	ENG	12252745	12252745	6211	RXNORM	IN	6211	lactose	N	4096.0
73	987245	987245	lactulose	Drug	RxNorm	Ingredient	S	6218	1970-01-01	2099-12-31		6218	ENG	12251028	12251028	6218	RXNORM	IN	6218	lactulose	N	4096.0
74	19087317	19087317	lanolin	Drug	RxNorm	Ingredient	S	6227	1970-01-01	2099-12-31		6227	ENG	12252158	12252158	6227	RXNORM	IN	6227	lanolin	N	4096.0
75	19124477	19124477	lithium	Drug	RxNorm	Ingredient	S	6448	1970-01-01	2099-12-31		6448	ENG	12252746	12252746	6448	RXNORM	IN	6448	lithium	N	4096.0
76	994341	994341	meclizine	Drug	RxNorm	Ingredient	S	6676	1970-01-01	2099-12-31		6676	ENG	12252166	12252166	6676	RXNORM	IN	6676	meclizine	N	4096.0
77	19000498	19000498	mefloquine	Drug	RxNorm	Ingredient	S	6694	1970-01-01	2099-12-31		6694	ENG	12251036	12251036	6694	RXNORM	IN	6694	mefloquine	N	4096.0
78	19000556	19000556	mefruside	Drug	RxNorm	Ingredient	S	6696	1970-01-01	2099-12-31		6696	ENG	12254470	12254470	6696	RXNORM	IN	6696	mefruside	N	
79	1300978	1300978	megestrol	Drug	RxNorm	Ingredient	S	6703	1970-01-01	2099-12-31		6703	ENG	12254471	12254471	6703	RXNORM	IN	6703	megestrol	N	4096.0
80	1301267	1301267	melphalan	Drug	RxNorm	Ingredient	S	6718	1970-01-01	2099-12-31		6718	ENG	12254472	12254472	6718	RXNORM	IN	6718	melphalan	N	4096.0
81	1102527	1102527	meperidine	Drug	RxNorm	Ingredient	S	6754	1970-01-01	2099-12-31		6754	ENG	12253323	12253323	6754	RXNORM	IN	6754	meperidine	N	4096.0
82	19003010	19003010	meptazinol	Drug	RxNorm	Ingredient	S	6761	1970-01-01	2099-12-31		6761	ENG	12252752	12252752	6761	RXNORM	IN	6761	meptazinol	N	
83	1103640	1103640	methadone	Drug	RxNorm	Ingredient	S	6813	1970-01-01	2099-12-31		6813	ENG	12253913	12253913	6813	RXNORM	IN	6813	methadone	N	4096.0
84	904356	904356	methenamine	Drug	RxNorm	Ingredient	S	6832	1970-01-01	2099-12-31		6832	ENG	12252172	12252172	6832	RXNORM	IN	6832	methenamine	N	4096.0
85	19004724	19004724	methionine	Drug	RxNorm	Ingredient	S	6837	1970-01-01	2099-12-31		6837	ENG	12254476	12254476	6837	RXNORM	IN	6837	methionine	N	4096.0
86	907013	907013	metolazone	Drug	RxNorm	Ingredient	S	6916	1970-01-01	2099-12-31		6916	ENG	12250499	12250499	6916	RXNORM	IN	6916	metolazone	N	4096.0
87	1307046	1307046	metoprolol	Drug	RxNorm	Ingredient	S	6918	1970-01-01	2099-12-31		6918	ENG	12253919	12253919	6918	RXNORM	IN	6918	metoprolol	N	4096.0
88	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	12250500	12250500	6932	RXNORM	IN	6932	miconazole	N	4096.0
89	708298	708298	midazolam	Drug	RxNorm	Ingredient	S	6960	1970-01-01	2099-12-31		6960	ENG	12252179	12252179	6960	RXNORM	IN	6960	midazolam	N	4096.0
90	1708880	1708880	minocycline	Drug	RxNorm	Ingredient	S	6980	1970-01-01	2099-12-31		6980	ENG	12253921	12253921	6980	RXNORM	IN	6980	minocycline	N	4096.0
91	915392	915392	natamycin	Drug	RxNorm	Ingredient	S	7268	1970-01-01	2099-12-31		7268	ENG	12254485	12254485	7268	RXNORM	IN	7268	natamycin	N	4096.0
92	19018416	19018416	niclosamide	Drug	RxNorm	Ingredient	S	7402	1970-01-01	2099-12-31		7402	ENG	12253337	12253337	7402	RXNORM	IN	7402	niclosamide	N	
93	19019176	19019176	nimorazole	Drug	RxNorm	Ingredient	S	7427	1970-01-01	2099-12-31		7427	ENG	12252183	12252183	7427	RXNORM	IN	7427	nimorazole	N	
94	1319880	1319880	nisoldipine	Drug	RxNorm	Ingredient	S	7435	1970-01-01	2099-12-31		7435	ENG	12252763	12252763	7435	RXNORM	IN	7435	nisoldipine	N	4096.0
95	721724	721724	nortriptyline	Drug	RxNorm	Ingredient	S	7531	1970-01-01	2099-12-31		7531	ENG	12250506	12250506	7531	RXNORM	IN	7531	nortriptyline	N	4096.0
96	19025925	19025925	oxyphenbutazone	Drug	RxNorm	Ingredient	S	7816	1970-01-01	2099-12-31		7816	ENG	12253931	12253931	7816	RXNORM	IN	7816	oxyphenbutazone	N	
97	926487	926487	pancreatin	Drug	RxNorm	Ingredient	S	7880	1970-01-01	2099-12-31		7880	ENG	12253345	12253345	7880	RXNORM	IN	7880	pancreatin	N	4096.0
98	1326901	1326901	papaverine	Drug	RxNorm	Ingredient	S	7895	1970-01-01	2099-12-31		7895	ENG	12253932	12253932	7895	RXNORM	IN	7895	papaverine	N	4096.0
99	733896	733896	phenelzine	Drug	RxNorm	Ingredient	S	8123	1970-01-01	2099-12-31		8123	ENG	12253349	12253349	8123	RXNORM	IN	8123	phenelzine	N	4096.0
100	735340	735340	phentermine	Drug	RxNorm	Ingredient	S	8152	1970-01-01	2099-12-31		8152	ENG	12251629	12251629	8152	RXNORM	IN	8152	phentermine	N	4096.0
101	19035577	19035577	phenylalanine	Drug	RxNorm	Ingredient	S	8156	1970-01-01	2099-12-31		8156	ENG	12250519	12250519	8156	RXNORM	IN	8156	phenylalanine	N	4096.0
102	1135710	1135710	phenylbutazone	Drug	RxNorm	Ingredient	S	8160	1970-01-01	2099-12-31		8160	ENG	12254505	12254505	8160	RXNORM	IN	8160	phenylbutazone	N	4096.0
103	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	12252193	12252193	8163	RXNORM	IN	8163	phenylephrine	N	4096.0
104	945286	945286	pilocarpine	Drug	RxNorm	Ingredient	S	8328	1970-01-01	2099-12-31		8328	ENG	12251631	12251631	8328	RXNORM	IN	8328	pilocarpine	N	4096.0
105	1345858	1345858	pindolol	Drug	RxNorm	Ingredient	S	8332	1970-01-01	2099-12-31		8332	ENG	12253353	12253353	8332	RXNORM	IN	8332	pindolol	N	4096.0
106	1146810	1146810	piroxicam	Drug	RxNorm	Ingredient	S	8356	1970-01-01	2099-12-31		8356	ENG	12250523	12250523	8356	RXNORM	IN	8356	piroxicam	N	4096.0
107	19047071	19047071	pivampicillin	Drug	RxNorm	Ingredient	S	8372	1970-01-01	2099-12-31		8372	ENG	12253355	12253355	8372	RXNORM	IN	8372	pivampicillin	N	
108	19047076	19047076	pizotyline	Drug	RxNorm	Ingredient	S	8373	1970-01-01	2099-12-31		8373	ENG	12251069	12251069	8373	RXNORM	IN	8373	pizotyline	N	
109	19049024	19049024	potassium	Drug	RxNorm	Ingredient	S	8588	1970-01-01	2099-12-31		8588	ENG	12251071	12251071	8588	RXNORM	IN	8588	potassium	N	4096.0
110	19135788	19135788	potassium permanganate	Drug	RxNorm	Ingredient	S	8604	1970-01-01	2099-12-31		8604	ENG	12252199	12252199	8604	RXNORM	IN	8604	potassium permanganate	N	
111	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	12250525	12250525	8611	RXNORM	IN	8611	povidone-iodine	N	4096.0
112	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	2180548	2180548	8638	RXNORM	IN	8638	prednisolone	N	4096.0
113	951279	951279	prilocaine	Drug	RxNorm	Ingredient	S	8686	1970-01-01	2099-12-31		8686	ENG	12254509	12254509	8686	RXNORM	IN	8686	prilocaine	N	4096.0
114	19052317	19052317	proflavine	Drug	RxNorm	Ingredient	S	8723	1970-01-01	2099-12-31		8723	ENG	12252205	12252205	8723	RXNORM	IN	8723	proflavine	N	4096.0
115	953391	953391	propantheline	Drug	RxNorm	Ingredient	S	8761	1970-01-01	2099-12-31		8761	ENG	12250532	12250532	8761	RXNORM	IN	8761	propantheline	N	4096.0
116	1153664	1153664	propoxyphene	Drug	RxNorm	Ingredient	S	8785	1970-01-01	2099-12-31		8785	ENG	12250533	12250533	8785	RXNORM	IN	8785	propoxyphene	N	
117	1554072	1554072	propylthiouracil	Drug	RxNorm	Ingredient	S	8794	1970-01-01	2099-12-31		8794	ENG	12252208	12252208	8794	RXNORM	IN	8794	propylthiouracil	N	4096.0
118	1154332	1154332	pseudoephedrine	Drug	RxNorm	Ingredient	S	8896	1970-01-01	2099-12-31		8896	ENG	12253361	12253361	8896	RXNORM	IN	8896	pseudoephedrine	N	4096.0
119	759740	759740	pyridostigmine	Drug	RxNorm	Ingredient	S	9000	1970-01-01	2099-12-31		9000	ENG	12251640	12251640	9000	RXNORM	IN	9000	pyridostigmine	N	4096.0
120	1762711	1762711	ribavirin	Drug	RxNorm	Ingredient	S	9344	1970-01-01	2099-12-31		9344	ENG	12254516	12254516	9344	RXNORM	IN	9344	ribavirin	N	4096.0
121	1164108	1164108	salicylamide	Drug	RxNorm	Ingredient	S	9518	1970-01-01	2099-12-31		9518	ENG	304922	304922	9518	RXNORM	IN	9518	salicylamide	N	4096.0
122	19066274	19066274	selenite	Drug	RxNorm	Ingredient	S	9640	1970-01-01	2099-12-31		9640	ENG	12252795	12252795	9640	RXNORM	IN	9640	selenite	N	4096.0
123	19070012	19070012	sodium tetradecyl sulfate	Drug	RxNorm	Ingredient	S	9913	1970-01-01	2099-12-31		9913	ENG	12251650	12251650	9913	RXNORM	IN	9913	sodium tetradecyl sulfate	N	4096.0
124	970011	970011	sorbitol	Drug	RxNorm	Ingredient	S	9945	1970-01-01	2099-12-31		9945	ENG	12252801	12252801	9945	RXNORM	IN	9945	sorbitol	N	4096.0
125	970250	970250	spironolactone	Drug	RxNorm	Ingredient	S	9997	1970-01-01	2099-12-31		9997	ENG	12251085	12251085	9997	RXNORM	IN	9997	spironolactone	N	4096.0
126	19000815	19000815	strontium	Drug	RxNorm	Ingredient	S	10122	2009-05-03	2099-12-31		10122	ENG	12250545	12250545	10122	RXNORM	IN	10122	strontium	N	4096.0
127	1836410	1836410	sulfadoxine	Drug	RxNorm	Ingredient	S	10173	1970-01-01	2099-12-31		10173	ENG	12250546	12250546	10173	RXNORM	IN	10173	sulfadoxine	N	
128	1636780	1636780	testosterone	Drug	RxNorm	Ingredient	S	10379	1970-01-01	2099-12-31		10379	ENG	12251089	12251089	10379	RXNORM	IN	10379	testosterone	N	4096.0
129	836877	836877	tetrabenazine	Drug	RxNorm	Ingredient	S	10390	1970-01-01	2099-12-31		10390	ENG	12252226	12252226	10390	RXNORM	IN	10390	tetrabenazine	N	4096.0
130	19000732	19000732	thyroglobulin	Drug	RxNorm	Ingredient	S	10565	1970-01-01	2099-12-31		10565	ENG	12250555	12250555	10565	RXNORM	IN	10565	thyroglobulin	N	
131	1102917	1102917	tolmetin	Drug	RxNorm	Ingredient	S	10636	1970-01-01	2099-12-31		10636	ENG	12252813	12252813	10636	RXNORM	IN	10636	tolmetin	N	4096.0
132	1705674	1705674	trimethoprim	Drug	RxNorm	Ingredient	S	10829	1970-01-01	2099-12-31		10829	ENG	12251668	12251668	10829	RXNORM	IN	10829	trimethoprim	N	4096.0
133	1105889	1105889	triprolidine	Drug	RxNorm	Ingredient	S	10849	1970-01-01	2099-12-31		10849	ENG	12252817	12252817	10849	RXNORM	IN	10849	triprolidine	N	4096.0
134	19006186	19006186	tryptophan	Drug	RxNorm	Ingredient	S	10898	1970-01-01	2099-12-31		10898	ENG	12252230	12252230	10898	RXNORM	IN	10898	tryptophan	N	4096.0
135	19006842	19006842	tyrothricin	Drug	RxNorm	Ingredient	S	10968	1970-01-01	2099-12-31		10968	ENG	12253382	12253382	10968	RXNORM	IN	10968	tyrothricin	N	
136	1707687	1707687	vancomycin	Drug	RxNorm	Ingredient	S	11124	1970-01-01	2099-12-31		11124	ENG	12254541	12254541	11124	RXNORM	IN	11124	vancomycin	N	4096.0
137	19009405	19009405	vitamin D	Drug	RxNorm	Ingredient	S	11253	1970-01-01	2099-12-31		11253	ENG	12251097	12251097	11253	RXNORM	IN	11253	vitamin D	N	4096.0
138	19010128	19010128	vitamin K	Drug	RxNorm	Ingredient	S	11258	1970-01-01	2099-12-31		11258	ENG	12252827	12252827	11258	RXNORM	IN	11258	vitamin K	N	4096.0
139	911064	911064	zinc oxide	Drug	RxNorm	Ingredient	S	11423	1970-01-01	2099-12-31		11423	ENG	12253987	12253987	11423	RXNORM	IN	11423	zinc oxide	N	4096.0
140	19014202	19014202	alfacalcidol	Drug	RxNorm	Ingredient	S	12062	1970-01-01	2099-12-31		12062	ENG	12252236	12252236	12062	RXNORM	IN	12062	alfacalcidol	N	
141	1314924	1314924	gemcitabine	Drug	RxNorm	Ingredient	S	12574	1970-01-01	2099-12-31		12574	ENG	368721	368721	12574	RXNORM	IN	12574	gemcitabine	N	4096.0
142	1529331	1529331	acarbose	Drug	RxNorm	Ingredient	S	16681	1970-01-01	2099-12-31		16681	ENG	12252238	12252238	16681	RXNORM	IN	16681	acarbose	N	4096.0
143	19018403	19018403	racecadotril	Drug	RxNorm	Ingredient	S	16738	1970-01-01	2099-12-31		16738	ENG	5461342	5461342	16738	RXNORM	IN	16738	racecadotril	N	
144	930021	930021	alfuzosin	Drug	RxNorm	Ingredient	S	17300	1970-01-01	2099-12-31		17300	ENG	383069	383069	17300	RXNORM	IN	17300	alfuzosin	N	4096.0
145	930604	930604	aluminum acetate	Drug	RxNorm	Ingredient	S	17609	1970-01-01	2099-12-31		17609	ENG	384526	384526	17609	RXNORM	IN	17609	aluminum acetate	N	4096.0
146	19032619	19032619	amorolfine	Drug	RxNorm	Ingredient	S	17804	1970-01-01	2099-12-31		17804	ENG	12253988	12253988	17804	RXNORM	IN	17804	amorolfine	N	
147	934075	934075	azelastine	Drug	RxNorm	Ingredient	S	18603	1970-01-01	2099-12-31		18603	ENG	2180558	2180558	18603	RXNORM	IN	18603	azelastine	N	4096.0
