	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c9	_c11	_c12	_c13	_c14	_c16
108	759740	759740	pyridostigmine	Drug	RxNorm	Ingredient	S	9000	1970-01-01	2099-12-31		9000	ENG	8662266	DB00545	DRUGBANK	IN	DB00545	Pyridostigmine	N
109	1762711	1762711	ribavirin	Drug	RxNorm	Ingredient	S	9344	1970-01-01	2099-12-31		9344	ENG	8537545	DB00811	DRUGBANK	IN	DB00811	Ribavirin	N
110	1164108	1164108	salicylamide	Drug	RxNorm	Ingredient	S	9518	1970-01-01	2099-12-31		9518	ENG	8615020	DB08797	DRUGBANK	IN	DB08797	Salicylamide	N
111	19070012	19070012	sodium tetradecyl sulfate	Drug	RxNorm	Ingredient	S	9913	1970-01-01	2099-12-31		9913	ENG	11445126	DB00464	DRUGBANK	IN	DB00464	Sodium tetradecyl sulfate	N
112	970011	970011	sorbitol	Drug	RxNorm	Ingredient	S	9945	1970-01-01	2099-12-31		9945	ENG	8693924	DB01638	DRUGBANK	IN	DB01638	Sorbitol	N
113	970250	970250	spironolactone	Drug	RxNorm	Ingredient	S	9997	1970-01-01	2099-12-31		9997	ENG	8626038	DB00421	DRUGBANK	IN	DB00421	Spironolactone	N
114	1836410	1836410	sulfadoxine	Drug	RxNorm	Ingredient	S	10173	1970-01-01	2099-12-31		10173	ENG	8630701	DB01299	DRUGBANK	IN	DB01299	Sulfadoxine	N
115	1636780	1636780	testosterone	Drug	RxNorm	Ingredient	S	10379	1970-01-01	2099-12-31		10379	ENG	8381471	DB00624	DRUGBANK	IN	DB00624	Testosterone	N
116	836877	836877	tetrabenazine	Drug	RxNorm	Ingredient	S	10390	1970-01-01	2099-12-31		10390	ENG	8495112	DB04844	DRUGBANK	IN	DB04844	Tetrabenazine	N
117	19000732	19000732	thyroglobulin	Drug	RxNorm	Ingredient	S	10565	1970-01-01	2099-12-31		10565	ENG	8356013	DB01584	DRUGBANK	IN	DB01584	Thyroglobulin	N
118	1102917	1102917	tolmetin	Drug	RxNorm	Ingredient	S	10636	1970-01-01	2099-12-31		10636	ENG	8566884	DB00500	DRUGBANK	IN	DB00500	Tolmetin	N
119	1705674	1705674	trimethoprim	Drug	RxNorm	Ingredient	S	10829	1970-01-01	2099-12-31		10829	ENG	8677875	DB00440	DRUGBANK	IN	DB00440	Trimethoprim	N
120	1105889	1105889	triprolidine	Drug	RxNorm	Ingredient	S	10849	1970-01-01	2099-12-31		10849	ENG	8478921	DB00427	DRUGBANK	IN	DB00427	Triprolidine	N
121	19006186	19006186	tryptophan	Drug	RxNorm	Ingredient	S	10898	1970-01-01	2099-12-31		10898	ENG	11812478	DB00150	DRUGBANK	IN	DB00150	Tryptophan	N
122	19006842	19006842	tyrothricin	Drug	RxNorm	Ingredient	S	10968	1970-01-01	2099-12-31		10968	ENG	10273705	DB13503	DRUGBANK	IN	DB13503	Tyrothricin	N
123	1707687	1707687	vancomycin	Drug	RxNorm	Ingredient	S	11124	1970-01-01	2099-12-31		11124	ENG	8591443	DB00512	DRUGBANK	IN	DB00512	Vancomycin	N
124	19009405	19009405	vitamin D	Drug	RxNorm	Ingredient	S	11253	1970-01-01	2099-12-31		11253	ENG	9273171	DB11094	DRUGBANK	IN	DB11094	Vitamin D	N
125	911064	911064	zinc oxide	Drug	RxNorm	Ingredient	S	11423	1970-01-01	2099-12-31		11423	ENG	8388983	DB09321	DRUGBANK	IN	DB09321	Zinc oxide	N
126	19014202	19014202	alfacalcidol	Drug	RxNorm	Ingredient	S	12062	1970-01-01	2099-12-31		12062	ENG	8534662	DB01436	DRUGBANK	IN	DB01436	Alfacalcidol	N
127	1314924	1314924	gemcitabine	Drug	RxNorm	Ingredient	S	12574	1970-01-01	2099-12-31		12574	ENG	8392858	DB00441	DRUGBANK	IN	DB00441	Gemcitabine	N
128	1529331	1529331	acarbose	Drug	RxNorm	Ingredient	S	16681	1970-01-01	2099-12-31		16681	ENG	8555932	DB00284	DRUGBANK	IN	DB00284	Acarbose	N
129	19018403	19018403	racecadotril	Drug	RxNorm	Ingredient	S	16738	1970-01-01	2099-12-31		16738	ENG	9245038	DB11696	DRUGBANK	IN	DB11696	Racecadotril	N
130	930021	930021	alfuzosin	Drug	RxNorm	Ingredient	S	17300	1970-01-01	2099-12-31		17300	ENG	8608161	DB00346	DRUGBANK	IN	DB00346	Alfuzosin	N
131	930604	930604	aluminum acetate	Drug	RxNorm	Ingredient	S	17609	1970-01-01	2099-12-31		17609	ENG	10289235	DB14518	DRUGBANK	IN	DB14518	Aluminum acetate	N
132	19032619	19032619	amorolfine	Drug	RxNorm	Ingredient	S	17804	1970-01-01	2099-12-31		17804	ENG	9718812	DB09056	DRUGBANK	IN	DB09056	Amorolfine	N
133	934075	934075	azelastine	Drug	RxNorm	Ingredient	S	18603	1970-01-01	2099-12-31		18603	ENG	8456055	DB00972	DRUGBANK	IN	DB00972	Azelastine	N
134	1749083	1749083	ceftibuten	Drug	RxNorm	Ingredient	S	20492	1970-01-01	2099-12-31		20492	ENG	8406786	DB01415	DRUGBANK	IN	DB01415	Ceftibuten	N
135	19050375	19050375	ciprofibrate	Drug	RxNorm	Ingredient	S	21149	1970-01-01	2099-12-31		21149	ENG	9718814	DB09064	DRUGBANK	IN	DB09064	Ciprofibrate	N
136	950435	950435	citric acid	Drug	RxNorm	Ingredient	S	21183	1970-01-01	2099-12-31		21183	ENG	11424872	DB04272	DRUGBANK	IN	DB04272	Citric acid	N
137	19054875	19054875	dichlorobenzyl alcohol	Drug	RxNorm	Ingredient	S	22906	1970-01-01	2099-12-31		22906	ENG	10273687	DB13269	DRUGBANK	IN	DB13269	Dichlorobenzyl alcohol	N
138	990009	990009	dipivefrin	Drug	RxNorm	Ingredient	S	23410	1970-01-01	2099-12-31		23410	ENG	8326050	DB00449	DRUGBANK	IN	DB00449	Dipivefrin	N
139	19058933	19058933	erdosteine	Drug	RxNorm	Ingredient	S	24305	1970-01-01	2099-12-31		24305	ENG	8716323	DB05057	DRUGBANK	IN	DB05057	Erdosteine	N
140	19095285	19095285	ethanolamine oleate	Drug	RxNorm	Ingredient	S	24460	1970-01-01	2099-12-31		24460	ENG	10334246	DB06689	DRUGBANK	IN	DB06689	Ethanolamine oleate	N
141	19095703	19095703	fenbufen	Drug	RxNorm	Ingredient	S	24830	1970-01-01	2099-12-31		24830	ENG	8476931	DB08981	DRUGBANK	IN	DB08981	Fenbufen	N
142	996541	996541	fluocinolone	Drug	RxNorm	Ingredient	S	25126	1970-01-01	2099-12-31		25126	ENG	9245978	DB12553	DRUGBANK	IN	DB12553	Fluocinolone	N
143	1000772	1000772	granisetron	Drug	RxNorm	Ingredient	S	26237	1970-01-01	2099-12-31		26237	ENG	8513416	DB00889	DRUGBANK	IN	DB00889	Granisetron	N
144	501343	501343	hepatitis B immune globulin	Drug	RxNorm	Ingredient	S	26744	1970-01-01	2099-12-31		26744	ENG	12540686	DB05276	DRUGBANK	IN	DB05276	Hepatitis B immune globulin	N
145	19069076	19069076	hydroxyethyl cellulose	Drug	RxNorm	Ingredient	S	27244	1970-01-01	2099-12-31		27244	ENG	8425143	DB11602	DRUGBANK	IN	DB11602	Hydroxyethyl cellulose	N
146	1103518	1103518	isometheptene	Drug	RxNorm	Ingredient	S	27946	1970-01-01	2099-12-31		27946	ENG	8571137	DB06706	DRUGBANK	IN	DB06706	Isometheptene	N
147	19071236	19071236	lactitol	Drug	RxNorm	Ingredient	S	28395	1970-01-01	2099-12-31		28395	ENG	9246419	DB12942	DRUGBANK	IN	DB12942	Lactitol	N
148	1107830	1107830	loratadine	Drug	RxNorm	Ingredient	S	28889	1970-01-01	2099-12-31		28889	ENG	8509565	DB00455	DRUGBANK	IN	DB00455	Loratadine	N
