	drug_concept_id	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason	_c0	_c1	_c7	_c11	_c12	_c13	_c14	_c16
40	955252	955252	fluocinonide	Drug	RxNorm	Ingredient	S	4462	1970-01-01	2099-12-31		4462	ENG	5480213	ATC	IN	C05AA11	fluocinonide	N
41	955252	955252	fluocinonide	Drug	RxNorm	Ingredient	S	4462	1970-01-01	2099-12-31		4462	ENG	5480214	ATC	IN	D07AC08	fluocinonide	N
42	755695	755695	fluoxetine	Drug	RxNorm	Ingredient	S	4493	1970-01-01	2099-12-31		4493	ENG	5480242	ATC	IN	N06AB03	fluoxetine	N
43	956874	956874	furosemide	Drug	RxNorm	Ingredient	S	4603	1970-01-01	2099-12-31		4603	ENG	5480303	ATC	IN	C03CA01	furosemide	N
44	19059796	19059796	gliclazide	Drug	RxNorm	Ingredient	S	4816	1970-01-01	2099-12-31		4816	ENG	5480364	ATC	IN	A10BB09	gliclazide	N
45	962398	962398	glycine	Drug	RxNorm	Ingredient	S	4919	1970-01-01	2099-12-31		4919	ENG	5480389	ATC	IN	B05CX03	glycine	N
46	1563600	1563600	chorionic gonadotropin	Drug	RxNorm	Ingredient	S	4986	1970-01-01	2099-12-31		4986	ENG	5479299	ATC	IN	G03GA01	chorionic gonadotrophin	N
47	19068839	19068839	hexetidine	Drug	RxNorm	Ingredient	S	5301	1970-01-01	2099-12-31		5301	ENG	5480464	ATC	IN	A01AB12	hexetidine	N
48	19068839	19068839	hexetidine	Drug	RxNorm	Ingredient	S	5301	1970-01-01	2099-12-31		5301	ENG	6821834	ATC	IN	G01AX16	hexetidine	N
49	1177480	1177480	ibuprofen	Drug	RxNorm	Ingredient	S	5640	1970-01-01	2099-12-31		5640	ENG	5480549	ATC	IN	C01EB16	ibuprofen	N
50	1177480	1177480	ibuprofen	Drug	RxNorm	Ingredient	S	5640	1970-01-01	2099-12-31		5640	ENG	5480550	ATC	IN	G02CC01	ibuprofen	N
51	1177480	1177480	ibuprofen	Drug	RxNorm	Ingredient	S	5640	1970-01-01	2099-12-31		5640	ENG	5480551	ATC	IN	M01AE01	ibuprofen	N
52	1177480	1177480	ibuprofen	Drug	RxNorm	Ingredient	S	5640	1970-01-01	2099-12-31		5640	ENG	5480552	ATC	IN	M02AA13	ibuprofen	N
53	1177480	1177480	ibuprofen	Drug	RxNorm	Ingredient	S	5640	1970-01-01	2099-12-31		5640	ENG	7717203	ATC	IN	R02AX02	ibuprofen	N
54	1383925	1383925	isosorbide dinitrate	Drug	RxNorm	Ingredient	S	6058	1970-01-01	2099-12-31		6058	ENG	5480727	ATC	IN	C01DA08	isosorbide dinitrate	N
55	1383925	1383925	isosorbide dinitrate	Drug	RxNorm	Ingredient	S	6058	1970-01-01	2099-12-31		6058	ENG	5480728	ATC	IN	C05AE02	isosorbide dinitrate	N
56	987245	987245	lactulose	Drug	RxNorm	Ingredient	S	6218	1970-01-01	2099-12-31		6218	ENG	5480780	ATC	IN	A06AD11	lactulose	N
57	19000498	19000498	mefloquine	Drug	RxNorm	Ingredient	S	6694	1970-01-01	2099-12-31		6694	ENG	5481002	ATC	IN	P01BC02	mefloquine	N
58	1300978	1300978	megestrol	Drug	RxNorm	Ingredient	S	6703	1970-01-01	2099-12-31		6703	ENG	5481005	ATC	IN	G03AC05	megestrol	N
59	1300978	1300978	megestrol	Drug	RxNorm	Ingredient	S	6703	1970-01-01	2099-12-31		6703	ENG	5481006	ATC	IN	G03DB02	megestrol	N
60	1300978	1300978	megestrol	Drug	RxNorm	Ingredient	S	6703	1970-01-01	2099-12-31		6703	ENG	5481007	ATC	IN	L02AB01	megestrol	N
61	19003010	19003010	meptazinol	Drug	RxNorm	Ingredient	S	6761	1970-01-01	2099-12-31		6761	ENG	5481058	ATC	IN	N02AX05	meptazinol	N
62	1307046	1307046	metoprolol	Drug	RxNorm	Ingredient	S	6918	1970-01-01	2099-12-31		6918	ENG	5481187	ATC	IN	C07AB02	metoprolol	N
63	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	5481207	ATC	IN	A01AB09	miconazole	N
64	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	5481208	ATC	IN	A07AC01	miconazole	N
65	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	5481209	ATC	IN	D01AC02	miconazole	N
66	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	5481210	ATC	IN	G01AF04	miconazole	N
67	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	5481211	ATC	IN	J02AB01	miconazole	N
68	907879	907879	miconazole	Drug	RxNorm	Ingredient	S	6932	1970-01-01	2099-12-31		6932	ENG	5481212	ATC	IN	S02AA13	miconazole	N
69	1708880	1708880	minocycline	Drug	RxNorm	Ingredient	S	6980	1970-01-01	2099-12-31		6980	ENG	12530921	ATC	IN	D10AF07	minocycline	N
70	1708880	1708880	minocycline	Drug	RxNorm	Ingredient	S	6980	1970-01-01	2099-12-31		6980	ENG	5481230	ATC	IN	A01AB23	minocycline	N
71	1708880	1708880	minocycline	Drug	RxNorm	Ingredient	S	6980	1970-01-01	2099-12-31		6980	ENG	5481231	ATC	IN	J01AA08	minocycline	N
72	721724	721724	nortriptyline	Drug	RxNorm	Ingredient	S	7531	1970-01-01	2099-12-31		7531	ENG	5481458	ATC	IN	N06AA10	nortriptyline	N
73	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	12869120	ATC	IN	C05AX06	phenylephrine	N
74	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	5481747	ATC	IN	C01CA06	phenylephrine	N
75	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	5481748	ATC	IN	R01AA04	phenylephrine	N
76	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	5481749	ATC	IN	R01AB01	phenylephrine	N
77	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	5481750	ATC	IN	R01BA03	phenylephrine	N
78	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	5481751	ATC	IN	S01FB01	phenylephrine	N
79	1135766	1135766	phenylephrine	Drug	RxNorm	Ingredient	S	8163	1970-01-01	2099-12-31		8163	ENG	5481752	ATC	IN	S01GA05	phenylephrine	N
80	1146810	1146810	piroxicam	Drug	RxNorm	Ingredient	S	8356	1970-01-01	2099-12-31		8356	ENG	5481813	ATC	IN	M01AC01	piroxicam	N
81	1146810	1146810	piroxicam	Drug	RxNorm	Ingredient	S	8356	1970-01-01	2099-12-31		8356	ENG	5481814	ATC	IN	M02AA07	piroxicam	N
82	1146810	1146810	piroxicam	Drug	RxNorm	Ingredient	S	8356	1970-01-01	2099-12-31		8356	ENG	5481815	ATC	IN	S01BC06	piroxicam	N
83	19047076	19047076	pizotyline	Drug	RxNorm	Ingredient	S	8373	1970-01-01	2099-12-31		8373	ENG	5481823	ATC	IN	N02CX01	pizotifen	N
84	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	5481882	ATC	IN	D08AG02	povidone-iodine	N
85	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	5481883	ATC	IN	D09AA09	povidone-iodine	N
86	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	5481884	ATC	IN	D11AC06	povidone-iodine	N
87	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	5481885	ATC	IN	G01AX11	povidone-iodine	N
88	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	5481886	ATC	IN	R02AA15	povidone-iodine	N
89	1750087	1750087	povidone-iodine	Drug	RxNorm	Ingredient	S	8611	1970-01-01	2099-12-31		8611	ENG	5481887	ATC	IN	S01AX18	povidone-iodine	N
90	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	12799249	ATC	IN	A01AC04	prednisolone	N
91	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481911	ATC	IN	A07EA01	prednisolone	N
92	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481912	ATC	IN	C05AA04	prednisolone	N
93	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481913	ATC	IN	D07AA03	prednisolone	N
94	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481914	ATC	IN	D07XA02	prednisolone	N
95	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481915	ATC	IN	H02AB06	prednisolone	N
96	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481916	ATC	IN	R01AD02	prednisolone	N
97	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481917	ATC	IN	S01BA04	prednisolone	N
98	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481918	ATC	IN	S01CB02	prednisolone	N
99	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481919	ATC	IN	S02BA03	prednisolone	N
100	1550557	1550557	prednisolone	Drug	RxNorm	Ingredient	S	8638	1970-01-01	2099-12-31		8638	ENG	5481920	ATC	IN	S03BA02	prednisolone	N
101	951279	951279	prilocaine	Drug	RxNorm	Ingredient	S	8686	1970-01-01	2099-12-31		8686	ENG	5481941	ATC	IN	N01BB04	prilocaine	N
102	953391	953391	propantheline	Drug	RxNorm	Ingredient	S	8761	1970-01-01	2099-12-31		8761	ENG	5481981	ATC	IN	A03AB05	propantheline	N
103	1153664	1153664	propoxyphene	Drug	RxNorm	Ingredient	S	8785	1970-01-01	2099-12-31		8785	ENG	5479678	ATC	IN	N02AC04	dextropropoxyphene	N
104	1154332	1154332	pseudoephedrine	Drug	RxNorm	Ingredient	S	8896	1970-01-01	2099-12-31		8896	ENG	5482019	ATC	IN	R01BA02	pseudoephedrine	N
105	1164108	1164108	salicylamide	Drug	RxNorm	Ingredient	S	9518	1970-01-01	2099-12-31		9518	ENG	5482185	ATC	IN	N02BA05	salicylamide	N
106	970250	970250	spironolactone	Drug	RxNorm	Ingredient	S	9997	1970-01-01	2099-12-31		9997	ENG	5482331	ATC	IN	C03DA01	spironolactone	N
107	1636780	1636780	testosterone	Drug	RxNorm	Ingredient	S	10379	1970-01-01	2099-12-31		10379	ENG	5482541	ATC	IN	G03BA03	testosterone	N
108	836877	836877	tetrabenazine	Drug	RxNorm	Ingredient	S	10390	1970-01-01	2099-12-31		10390	ENG	5482548	ATC	IN	N07XX06	tetrabenazine	N
109	1705674	1705674	trimethoprim	Drug	RxNorm	Ingredient	S	10829	1970-01-01	2099-12-31		10829	ENG	5482760	ATC	IN	J01EA01	trimethoprim	N
110	1105889	1105889	triprolidine	Drug	RxNorm	Ingredient	S	10849	1970-01-01	2099-12-31		10849	ENG	5482768	ATC	IN	R06AX07	triprolidine	N
111	19014202	19014202	alfacalcidol	Drug	RxNorm	Ingredient	S	12062	1970-01-01	2099-12-31		12062	ENG	5478551	ATC	IN	A11CC03	alfacalcidol	N
112	1529331	1529331	acarbose	Drug	RxNorm	Ingredient	S	16681	1970-01-01	2099-12-31		16681	ENG	5478461	ATC	IN	A10BF01	acarbose	N
113	930021	930021	alfuzosin	Drug	RxNorm	Ingredient	S	17300	1970-01-01	2099-12-31		17300	ENG	5478554	ATC	IN	G04CA01	alfuzosin	N
114	19032619	19032619	amorolfine	Drug	RxNorm	Ingredient	S	17804	1970-01-01	2099-12-31		17804	ENG	5478653	ATC	IN	D01AE16	amorolfine	N
115	934075	934075	azelastine	Drug	RxNorm	Ingredient	S	18603	1970-01-01	2099-12-31		18603	ENG	5478768	ATC	IN	R01AC03	azelastine	N
116	934075	934075	azelastine	Drug	RxNorm	Ingredient	S	18603	1970-01-01	2099-12-31		18603	ENG	5478769	ATC	IN	R06AX19	azelastine	N
117	934075	934075	azelastine	Drug	RxNorm	Ingredient	S	18603	1970-01-01	2099-12-31		18603	ENG	5478770	ATC	IN	S01GX07	azelastine	N
118	19050375	19050375	ciprofibrate	Drug	RxNorm	Ingredient	S	21149	1970-01-01	2099-12-31		21149	ENG	5479338	ATC	IN	C10AB08	ciprofibrate	N
119	950435	950435	citric acid	Drug	RxNorm	Ingredient	S	21183	1970-01-01	2099-12-31		21183	ENG	5479349	ATC	IN	A09AB04	citric acid	N
120	990009	990009	dipivefrin	Drug	RxNorm	Ingredient	S	23410	1970-01-01	2099-12-31		23410	ENG	5479808	ATC	IN	S01EA02	dipivefrine	N
121	1103518	1103518	isometheptene	Drug	RxNorm	Ingredient	S	27946	1970-01-01	2099-12-31		27946	ENG	5480716	ATC	IN	A03AX10	isometheptene	N
122	1107830	1107830	loratadine	Drug	RxNorm	Ingredient	S	28889	1970-01-01	2099-12-31		28889	ENG	5480884	ATC	IN	R06AX13	loratadine	N
123	1308216	1308216	lisinopril	Drug	RxNorm	Ingredient	S	29046	1970-01-01	2099-12-31		29046	ENG	5480861	ATC	IN	C09AA03	lisinopril	N
124	19008994	19008994	mebeverine	Drug	RxNorm	Ingredient	S	29410	1970-01-01	2099-12-31		29410	ENG	5480971	ATC	IN	A03AA04	mebeverine	N
125	938061	938061	selenium sulfide	Drug	RxNorm	Ingredient	S	36345	1970-01-01	2099-12-31		36345	ENG	5482213	ATC	IN	D01AE13	selenium sulfide	N
126	938268	938268	sennosides, USP	Drug	RxNorm	Ingredient	S	36387	1970-01-01	2099-12-31		36387	ENG	5482216	ATC	IN	A06AB06	senna glycosides	N
127	939506	939506	sodium bicarbonate	Drug	RxNorm	Ingredient	S	36676	1970-01-01	2099-12-31		36676	ENG	5482260	ATC	IN	B05CB04	sodium bicarbonate	N
128	939506	939506	sodium bicarbonate	Drug	RxNorm	Ingredient	S	36676	1970-01-01	2099-12-31		36676	ENG	5482261	ATC	IN	B05XA02	sodium bicarbonate	N
129	19041933	19041933	tibolone	Drug	RxNorm	Ingredient	S	38260	1970-01-01	2099-12-31		38260	ENG	5482620	ATC	IN	G03CX01	tibolone	N
130	19042445	19042445	tramazoline	Drug	RxNorm	Ingredient	S	38453	1970-01-01	2099-12-31		38453	ENG	5482701	ATC	IN	R01AA09	tramazoline	N
131	19042550	19042550	triazulenone	Drug	RxNorm	Ingredient	S	38555	1970-01-01	2099-12-31		38555	ENG	5480881	ATC	IN	N05CD11	loprazolam	N
132	944360	944360	zinc pyrithione	Drug	RxNorm	Ingredient	S	39952	1970-01-01	2099-12-31		39952	ENG	5482030	ATC	IN	D11AX12	pyrithione zinc	N
133	1150770	1150770	astemizole	Drug	RxNorm	Ingredient	S	42328	1970-01-01	2099-12-31		42328	ENG	5478735	ATC	IN	R06AX11	astemizole	N
134	1150871	1150871	misoprostol	Drug	RxNorm	Ingredient	S	42331	1970-01-01	2099-12-31		42331	ENG	5481238	ATC	IN	A02BB01	misoprostol	N
135	1150871	1150871	misoprostol	Drug	RxNorm	Ingredient	S	42331	1970-01-01	2099-12-31		42331	ENG	5481239	ATC	IN	G02AD06	misoprostol	N
136	750982	750982	bupropion	Drug	RxNorm	Ingredient	S	42347	1970-01-01	2099-12-31		42347	ENG	5479007	ATC	IN	N06AX12	bupropion	N
137	751412	751412	fluvoxamine	Drug	RxNorm	Ingredient	S	42355	1970-01-01	2099-12-31		42355	ENG	5480269	ATC	IN	N06AB08	fluvoxamine	N
138	1351541	1351541	leuprolide	Drug	RxNorm	Ingredient	S	42375	1970-01-01	2099-12-31		42375	ENG	5480807	ATC	IN	L02AE02	leuprorelin	N
139	979096	979096	zinc acetate	Drug	RxNorm	Ingredient	S	58295	1970-01-01	2099-12-31		58295	ENG	5482928	ATC	IN	A16AX05	zinc acetate	N
140	1704183	1704183	lamivudine	Drug	RxNorm	Ingredient	S	68244	1970-01-01	2099-12-31		68244	ENG	5480783	ATC	IN	J05AF05	lamivudine	N
141	19017742	19017742	febuxostat	Drug	RxNorm	Ingredient	S	73689	2009-03-01	2099-12-31		73689	ENG	5480084	ATC	IN	M04AA03	febuxostat	N
142	19043959	19043959	acamprosate	Drug	RxNorm	Ingredient	S	82819	1970-01-01	2099-12-31		82819	ENG	5478460	ATC	IN	N07BB03	acamprosate	N
143	1550023	1550023	insulin lispro	Drug	RxNorm	Ingredient	S	86009	1970-01-01	2099-12-31		86009	ENG	5480633	ATC	IN	A10AB04	insulin lispro	N
144	1550023	1550023	insulin lispro	Drug	RxNorm	Ingredient	S	86009	1970-01-01	2099-12-31		86009	ENG	5480634	ATC	IN	A10AC04	insulin lispro	N
145	1550023	1550023	insulin lispro	Drug	RxNorm	Ingredient	S	86009	1970-01-01	2099-12-31		86009	ENG	5936897	ATC	IN	A10AD04	insulin lispro	N
146	1154077	1154077	rizatriptan	Drug	RxNorm	Ingredient	S	88014	1970-01-01	2099-12-31		88014	ENG	5482145	ATC	IN	N02CC04	rizatriptan	N
147	913782	913782	tolterodine	Drug	RxNorm	Ingredient	S	119565	1970-01-01	2099-12-31		119565	ENG	5482690	ATC	IN	G04BD07	tolterodine	N
148	1151789	1151789	etanercept	Drug	RxNorm	Ingredient	S	214555	1970-01-01	2099-12-31		214555	ENG	5480007	ATC	IN	L04AB01	etanercept	N
149	1189754	1189754	rofecoxib	Drug	RxNorm	Ingredient	S	232158	1970-01-01	2099-12-31		232158	ENG	5482148	ATC	IN	M01AH02	rofecoxib	N
150	1596977	1596977	insulin, regular, human	Drug	RxNorm	Ingredient	S	253182	1970-01-01	2099-12-31		253182	ENG	5480619	ATC	IN	A10AB01	insulin (human)	N
151	1596977	1596977	insulin, regular, human	Drug	RxNorm	Ingredient	S	253182	1970-01-01	2099-12-31		253182	ENG	5480620	ATC	IN	A10AC01	insulin (human)	N
152	1596977	1596977	insulin, regular, human	Drug	RxNorm	Ingredient	S	253182	1970-01-01	2099-12-31		253182	ENG	5480621	ATC	IN	A10AD01	insulin (human)	N
153	1596977	1596977	insulin, regular, human	Drug	RxNorm	Ingredient	S	253182	1970-01-01	2099-12-31		253182	ENG	5480622	ATC	IN	A10AE01	insulin (human)	N
154	1596977	1596977	insulin, regular, human	Drug	RxNorm	Ingredient	S	253182	1970-01-01	2099-12-31		253182	ENG	5480623	ATC	IN	A10AF01	insulin (human)	N
155	904453	904453	esomeprazole	Drug	RxNorm	Ingredient	S	283742	1970-01-01	2099-12-31		283742	ENG	5479988	ATC	IN	A02BC05	esomeprazole	N
156	19007748	19007748	cetrimide	Drug	RxNorm	Ingredient	S	288088	1970-01-01	2099-12-31		288088	ENG	5479203	ATC	IN	D08AJ04	cetrimide	N
157	19007748	19007748	cetrimide	Drug	RxNorm	Ingredient	S	288088	1970-01-01	2099-12-31		288088	ENG	5479204	ATC	IN	D11AC01	cetrimide	N
158	19008361	19008361	tacalcitol	Drug	RxNorm	Ingredient	S	291204	1970-01-01	2099-12-31		291204	ENG	5482427	ATC	IN	D05AX04	tacalcitol	N
159	19005046	19005046	pyridoxine	Drug	RxNorm	Ingredient	S	684879	2007-12-30	2099-12-31		684879	ENG	12733807	ATC	IN	A11HA02	pyridoxine (vit B6)	N
160	40239216	40239216	linagliptin	Drug	RxNorm	Ingredient	S	1100699	2011-06-05	2099-12-31		1100699	ENG	5480847	ATC	IN	A10BH05	linagliptin	N
161	1139042	1139042	acetylcysteine	Drug	RxNorm	Ingredient	S	197	1970-01-01	2099-12-31		197	ENG	5478485	ATC	IN	R05CB01	acetylcysteine	N
162	1139042	1139042	acetylcysteine	Drug	RxNorm	Ingredient	S	197	1970-01-01	2099-12-31		197	ENG	5478486	ATC	IN	S01XA08	acetylcysteine	N
163	1139042	1139042	acetylcysteine	Drug	RxNorm	Ingredient	S	197	1970-01-01	2099-12-31		197	ENG	5478487	ATC	IN	V03AB23	acetylcysteine	N
164	710062	710062	amitriptyline	Drug	RxNorm	Ingredient	S	704	1970-01-01	2099-12-31		704	ENG	5478644	ATC	IN	N06AA09	amitriptyline	N
