A_drug_concept_id	A_atc_codes	A_drug_concept_name	B_drug_concept_id	B_atc_codes	B_drug_concept_name	people_count	avg_switch_interval
19035704	('A02AC01', 'A12AA04')	calcium carbonate	19035704	('A02AC01', 'A12AA04')	calcium carbonate	13945	58.53386052116283
1360332	('M01AX05',)	glucosamine	1360332	('M01AX05',)	glucosamine	13498	182.46039383769357
1549080	('G03CA57',)	estrogens, conjugated (USP)	1549080	('G03CA57',)	estrogens, conjugated (USP)	12486	93.27419415979075
1395573	('M01AX25',)	chondroitin sulfates	1360332	('M01AX05',)	glucosamine	12458	200.9421357424137
1360332	('M01AX05',)	glucosamine	1395573	('M01AX25',)	chondroitin sulfates	12456	200.98791386895115
1395573	('M01AX25',)	chondroitin sulfates	1395573	('M01AX25',)	chondroitin sulfates	12433	201.04468470140597
1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	12052	69.29490035000434
1332418	('C08CA01',)	amlodipine	1332418	('C08CA01',)	amlodipine	12023	56.27555797495917
920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	11916	144.01023288637967
1338005	('C07AB07',)	bisoprolol	1338005	('C07AB07',)	bisoprolol	11603	48.19779077823108
19054936	('J01CF05',)	floxacillin	1713332	('J01CA04',)	amoxicillin	10693	207.39753272910372
1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	10353	117.00586377988273
1713332	('J01CA04',)	amoxicillin	19054936	('J01CF05',)	floxacillin	10162	235.5124470338983
1503297	('A10BA02',)	metformin	1503297	('A10BA02',)	metformin	9779	49.619136735114346
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	9018	135.85716665278588
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	8911	46.504996631484396
797617	('N06AB04',)	citalopram	797617	('N06AB04',)	citalopram	8507	59.68474674946633
1334456	('C09AA05',)	ramipril	1334456	('C09AA05',)	ramipril	8440	54.94386192271442
1177480	('C01EB16', 'G02CC01', 'M01AE01', 'M02AA13', 'R02AX02')	ibuprofen	1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	8077	183.42425569176882
1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	7857	41.64605572339711
1705674	('J01EA01',)	trimethoprim	1705674	('J01EA01',)	trimethoprim	7661	164.88110301196534
905233	('D07AC13', 'D07XC03', 'R01AD09', 'R03BA07')	mometasone	905233	('D07AC13', 'D07XC03', 'R01AD09', 'R03BA07')	mometasone	7630	84.97690672623122
1549786	('G03CA01', 'L02AA03')	ethinyl estradiol	1549786	('G03CA01', 'L02AA03')	ethinyl estradiol	7570	135.65554648778837
1308216	('C09AA03',)	lisinopril	1308216	('C09AA03',)	lisinopril	7505	51.498442769771984
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	7452	199.71996406916685
1316262	('G04BE03',)	sildenafil	1316262	('G04BE03',)	sildenafil	7273	67.95149846234247
1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	7248	70.94124549492918
1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	7243	199.80018783752055
920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	7137	152.24248927038627
1149196	('R06AE07', 'S01GX12')	cetirizine	1149196	('R06AE07', 'S01GX12')	cetirizine	6987	101.43096709689148
1137529	('R03AC12',)	salmeterol	1137529	('R03AC12',)	salmeterol	6979	60.22423611536342
19054936	('J01CF05',)	floxacillin	19054936	('J01CF05',)	floxacillin	6958	241.4346149726893
1103314	('N02AX02',)	tramadol	1103314	('N02AX02',)	tramadol	6952	56.00794568043918
755695	('N06AB03',)	fluoxetine	755695	('N06AB03',)	fluoxetine	6797	72.9386916984453
1539403	('C10AA01',)	simvastatin	1545958	('C10AA05',)	atorvastatin	6533	61.856992954579525
1189596	('N02AA08',)	dihydrocodeine	1189596	('N02AA08',)	dihydrocodeine	6526	73.251396858955
1589505	('G03AC03', 'G03AD01')	levonorgestrel	1589505	('G03AC03', 'G03AD01')	levonorgestrel	6348	133.78269807756416
1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	1177480	('C01EB16', 'G02CC01', 'M01AE01', 'M02AA13', 'R02AX02')	ibuprofen	6284	182.17978947368422
908523	('A06AA01',)	mineral oil	908523	('A06AA01',)	mineral oil	6122	72.39320670607617
1154343	('R03AC02', 'R03CC02')	albuterol	1137529	('R03AC12',)	salmeterol	6117	62.51715647339158
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	6074	94.50617953165654
1353766	('C07AA05',)	propranolol	1353766	('C07AA05',)	propranolol	5907	63.3620846065699
1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	5840	67.22752391073327
1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	5725	102.2978849809886
1137529	('R03AC12',)	salmeterol	1154343	('R03AC02', 'R03CC02')	albuterol	5707	61.03398165787958
1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	5552	155.81934566145094
1746940	('D10AF02', 'J01FA01', 'S01AA17')	erythromycin	1746940	('D10AF02', 'J01FA01', 'S01AA17')	erythromycin	5423	168.32287188306105
961047	('A02BA02',)	ranitidine	961047	('A02BA02',)	ranitidine	5331	72.28902205177373
1500211	('G03AC06', 'G03DA02', 'L02AB02')	medroxyprogesterone	1500211	('G03AC06', 'G03DA02', 'L02AB02')	medroxyprogesterone	5331	78.92141673150435
1310149	('B01AA03',)	warfarin	1310149	('B01AA03',)	warfarin	5321	50.3759126797515
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	5265	153.27425951171148
19011773	('A11GA01', 'G01AD03', 'S01XA15')	ascorbic acid	19011773	('A11GA01', 'G01AD03', 'S01XA15')	ascorbic acid	5210	181.54663887441376
1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	5171	71.91108659680089
1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	5155	141.54782525019246
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	5042	177.78741700228585
907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	4969	175.07483443708608
1729720	('J01CE02',)	penicillin V	1713332	('J01CA04',)	amoxicillin	4931	242.26499174766184
1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	4904	197.24193548387098
915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	4882	151.76044737298423
923645	('A02BC01',)	omeprazole	929887	('A02BC03',)	lansoprazole	4773	82.58013902681232
1167322	('M04AA01',)	allopurinol	1167322	('M04AA01',)	allopurinol	4599	55.88468534012368
1713332	('J01CA04',)	amoxicillin	1729720	('J01CE02',)	penicillin V	4573	225.05213641709133
1107830	('R06AX13',)	loratadine	1107830	('R06AX13',)	loratadine	4564	114.01844354475934
924566	('G04CA02',)	tamsulosin	924566	('G04CA02',)	tamsulosin	4483	56.448113207547166
1367500	('C09CA01',)	losartan	1367500	('C09CA01',)	losartan	4475	49.165115163147796
920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	4470	174.8503893214683
1177480	('C01EB16', 'G02CC01', 'M01AE01', 'M02AA13', 'R02AX02')	ibuprofen	1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	4410	144.56955879248468
1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	4370	67.5375939849624
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	4313	157.6673982778997
929887	('A02BC03',)	lansoprazole	923645	('A02BC01',)	omeprazole	4251	94.5420457066785
1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	4243	184.03545684784726
915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	4235	154.89421745152356
920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	4207	89.75638560834935
925952	('A01AB25', 'D06AA03', 'G01AA07', 'J01AA06', 'S01AA04')	oxytetracycline	925952	('A01AB25', 'D06AA03', 'G01AA07', 'J01AA06', 'S01AA04')	oxytetracycline	4177	102.3414587147124
1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	4106	91.6718203033839
956874	('C03CA01',)	furosemide	956874	('C03CA01',)	furosemide	4086	54.119350242234255
19008994	('A03AA04',)	mebeverine	19008994	('A03AA04',)	mebeverine	3996	83.37598710717164
797399	('N02BF01',)	gabapentin	797399	('N02BF01',)	gabapentin	3993	49.26231681786462
1363053	('C02CA04',)	doxazosin	1363053	('C02CA04',)	doxazosin	3992	49.16701291294961
1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	3966	129.777182007745
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	19005129	('D07AB01', 'S01BA09')	clobetasone	3960	137.77139235157406
19044883	('N05CF01',)	zopiclone	19044883	('N05CF01',)	zopiclone	3890	84.10962189616252
1741309	('D01AE15', 'D01BA02')	terbinafine	1741309	('D01AE15', 'D01BA02')	terbinafine	3880	161.56739206739206
1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	3878	35.95485519591141
1549080	('G03CA57',)	estrogens, conjugated (USP)	1548195	('G03CA03',)	estradiol	3841	113.80083955223881
1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	3804	41.43243654050767
1153664	('N02AC04',)	propoxyphene	1153664	('N02AC04',)	propoxyphene	3801	85.04769069737014
1760616	('P01BC01',)	quinine	1760616	('P01BC01',)	quinine	3787	55.86158534587279
1361711	('C01DA02', 'C05AE01')	nitroglycerin	1361711	('C01DA02', 'C05AE01')	nitroglycerin	3784	69.59500454132606
19037989	('N06AA16',)	dothiepin	19037989	('N06AA16',)	dothiepin	3780	57.895507091907845
1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	3762	53.69057644838101
907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	3671	162.10679611650485
1738521	('A01AB22', 'J01AA02')	doxycycline	1738521	('A01AB22', 'J01AA02')	doxycycline	3668	130.76387078081993
915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	3563	142.2483729736126
902251	('S01KA02',)	hypromellose	902251	('S01KA02',)	hypromellose	3549	58.34157867533043
1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	3482	140.29679433305319
723013	('N05BA01',)	diazepam	723013	('N05BA01',)	diazepam	3482	93.60402780763994
19005129	('D07AB01', 'S01BA09')	clobetasone	19005129	('D07AB01', 'S01BA09')	clobetasone	3421	142.5723350253807
1336926	('G04BE08',)	tadalafil	1336926	('G04BE08',)	tadalafil	3421	64.33270884782424
907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	3396	43.88693467336683
1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	3385	35.3514164305949
1322184	('B01AC04',)	clopidogrel	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	3379	39.18807724601176
1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	1322184	('B01AC04',)	clopidogrel	3352	52.87654887563102
1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	1177480	('C01EB16', 'G02CC01', 'M01AE01', 'M02AA13', 'R02AX02')	ibuprofen	3343	135.82500697739326
1551860	('C10AA03',)	pravastatin	1551860	('C10AA03',)	pravastatin	3342	50.362836246436096
1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	3312	66.82150759699071
915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	929549	('G01AD02', 'S02AA10')	acetic acid	3278	142.41702613549862
1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	3277	38.3510461025736
939259	('A07EA06', 'D07AC09', 'R01AD05', 'R03BA02')	budesonide	939259	('A07EA06', 'D07AC09', 'R01AD05', 'R03BA02')	budesonide	3273	79.18597032183465
1738521	('A01AB22', 'J01AA02')	doxycycline	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	3248	40.32291885091214
1140643	('N02CC01',)	sumatriptan	1140643	('N02CC01',)	sumatriptan	3242	73.26314842578711
929549	('G01AD02', 'S02AA10')	acetic acid	915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	3235	140.5934249390009
1545958	('C10AA05',)	atorvastatin	1539403	('C10AA01',)	simvastatin	3206	52.16885496183206
19049038	('G03CA04', 'G03CC06')	estriol	19049038	('G03CA04', 'G03CC06')	estriol	3172	95.14854058376649
19005129	('D07AB01', 'S01BA09')	clobetasone	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	3142	153.36573225045848
1351557	('C09CA06',)	candesartan	1351557	('C09CA06',)	candesartan	3142	47.806961860658724
1373225	('C09AA04',)	perindopril	1373225	('C09AA04',)	perindopril	3138	49.953986233808465
929549	('G01AD02', 'S02AA10')	acetic acid	929549	('G01AD02', 'S02AA10')	acetic acid	3116	137.23537859007834
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	905233	('D07AC13', 'D07XC03', 'R01AD09', 'R03BA07')	mometasone	3104	109.16307206733298
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	3093	75.01348364279399
1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	1124300	('D11AX18', 'M01AB05', 'M02AA15', 'S01BC03')	diclofenac	3070	152.60408412069492
1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	3064	96.007492641156
915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	3061	49.85111808552374
1112807	('A01AD05', 'B01AC06', 'N02BA01')	aspirin	907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	3034	40.900583576490206
989878	('C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01')	lidocaine	989878	('C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01')	lidocaine	3012	157.17470503001448
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	2998	147.38158594997338
19005129	('D07AB01', 'S01BA09')	clobetasone	920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	2990	122.61964930376483
920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	905233	('D07AC13', 'D07XC03', 'R01AD09', 'R03BA07')	mometasone	2990	94.95955227677436
1115572	('A07EA07', 'D07AC15', 'R01AD01', 'R03BA01')	beclomethasone	905233	('D07AC13', 'D07XC03', 'R01AD09', 'R03BA07')	mometasone	2948	77.39428205675271
752061	('N05AB04',)	prochlorperazine	752061	('N05AB04',)	prochlorperazine	2934	110.05748647023452
975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	2914	100.68612521150592
1786621	('J01DB01',)	cephalexin	1786621	('J01DB01',)	cephalexin	2872	116.39327056644544
1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	975125	('A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01')	hydrocortisone	2857	129.43296641264465
1125315	('N02BE01',)	acetaminophen	797399	('N02BF01',)	gabapentin	2829	47.6896003181547
722031	('N06AB05',)	paroxetine	722031	('N06AB05',)	paroxetine	2829	67.14931485273272
