A_drug_concept_id	A_atc_codes	A_drug_concept_name	B_drug_concept_id	B_atc_codes	B_drug_concept_name	people_count	avg_switch_interval
1549080	('G03CA57',)	estrogens, conjugated (USP)	1549080	('G03CA57',)	estrogens, conjugated (USP)	12486	93.27419415979075
1395573	('M01AX25',)	chondroitin sulfates	1395573	('M01AX25',)	chondroitin sulfates	12433	201.04468470140597
36878782	()	Unknown	36878782	()	Unknown	12417	216.14147585145275
1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	1149380	('D07AC17', 'R01AD08', 'R03BA05')	fluticasone	12052	69.29490035000434
1332418	('C08CA01',)	amlodipine	1332418	('C08CA01',)	amlodipine	12023	56.27555797495917
920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	920458	('A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03')	betamethasone	11916	144.01023288637967
1338005	('C07AB07',)	bisoprolol	1338005	('C07AB07',)	bisoprolol	11603	48.19779077823108
1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	1115008	('G02CC02', 'M01AE02', 'M02AA12')	naproxen	10353	117.00586377988273
1503297	('A10BA02',)	metformin	1503297	('A10BA02',)	metformin	9779	49.619136735114346
797617	('N06AB04',)	citalopram	797617	('N06AB04',)	citalopram	8507	59.68474674946633
1334456	('C09AA05',)	ramipril	1334456	('C09AA05',)	ramipril	8440	54.94386192271442
1705674	('J01EA01',)	trimethoprim	1705674	('J01EA01',)	trimethoprim	7661	164.88110301196534
905233	('D07AC13', 'D07XC03', 'R01AD09', 'R03BA07')	mometasone	905233	('D07AC13', 'D07XC03', 'R01AD09', 'R03BA07')	mometasone	7630	84.97690672623122
1549786	('G03CA01', 'L02AA03')	ethinyl estradiol	1549786	('G03CA01', 'L02AA03')	ethinyl estradiol	7570	135.65554648778837
1308216	('C09AA03',)	lisinopril	1308216	('C09AA03',)	lisinopril	7505	51.498442769771984
1316262	('G04BE03',)	sildenafil	1316262	('G04BE03',)	sildenafil	7273	67.95149846234247
1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	1550557	('A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02')	prednisolone	7248	70.94124549492918
1521592	()	Unknown	1521592	()	Unknown	7171	92.85017451630974
1149196	('R06AE07', 'S01GX12')	cetirizine	1149196	('R06AE07', 'S01GX12')	cetirizine	6987	101.43096709689148
1137529	('R03AC12',)	salmeterol	1137529	('R03AC12',)	salmeterol	6979	60.22423611536342
19054936	('J01CF05',)	floxacillin	19054936	('J01CF05',)	floxacillin	6958	241.4346149726893
1103314	('N02AX02',)	tramadol	1103314	('N02AX02',)	tramadol	6952	56.00794568043918
755695	('N06AB03',)	fluoxetine	755695	('N06AB03',)	fluoxetine	6797	72.9386916984453
1189596	('N02AA08',)	dihydrocodeine	1189596	('N02AA08',)	dihydrocodeine	6526	73.251396858955
1589505	('G03AC03', 'G03AD01')	levonorgestrel	1589505	('G03AC03', 'G03AD01')	levonorgestrel	6348	133.78269807756416
908523	('A06AA01',)	mineral oil	908523	('A06AA01',)	mineral oil	6122	72.39320670607617
19018544	()	Unknown	19018544	()	Unknown	5986	167.3095454170448
1353766	('C07AA05',)	propranolol	1353766	('C07AA05',)	propranolol	5907	63.3620846065699
19033354	()	Unknown	19033354	()	Unknown	5555	73.82676694725308
1746940	('D10AF02', 'J01FA01', 'S01AA17')	erythromycin	1746940	('D10AF02', 'J01FA01', 'S01AA17')	erythromycin	5423	168.32287188306105
961047	('A02BA02',)	ranitidine	961047	('A02BA02',)	ranitidine	5331	72.28902205177373
1500211	('G03AC06', 'G03DA02', 'L02AB02')	medroxyprogesterone	1500211	('G03AC06', 'G03DA02', 'L02AB02')	medroxyprogesterone	5331	78.92141673150435
1310149	('B01AA03',)	warfarin	1310149	('B01AA03',)	warfarin	5321	50.3759126797515
19011773	('A11GA01', 'G01AD03', 'S01XA15')	ascorbic acid	19011773	('A11GA01', 'G01AD03', 'S01XA15')	ascorbic acid	5210	181.54663887441376
1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	1000632	('A01AB18', 'D01AC01', 'G01AF02')	clotrimazole	5155	141.54782525019246
915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	915981	('A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01')	neomycin	4882	151.76044737298423
1557272	()	Unknown	1557272	()	Unknown	4641	54.105880015891934
19129738	()	Unknown	19129738	()	Unknown	4640	72.19637672744165
1167322	('M04AA01',)	allopurinol	1167322	('M04AA01',)	allopurinol	4599	55.88468534012368
1107830	('R06AX13',)	loratadine	1107830	('R06AX13',)	loratadine	4564	114.01844354475934
924566	('G04CA02',)	tamsulosin	924566	('G04CA02',)	tamsulosin	4483	56.448113207547166
1367500	('C09CA01',)	losartan	1367500	('C09CA01',)	losartan	4475	49.165115163147796
925952	('A01AB25', 'D06AA03', 'G01AA07', 'J01AA06', 'S01AA04')	oxytetracycline	925952	('A01AB25', 'D06AA03', 'G01AA07', 'J01AA06', 'S01AA04')	oxytetracycline	4177	102.3414587147124
956874	('C03CA01',)	furosemide	956874	('C03CA01',)	furosemide	4086	54.119350242234255
40798976	()	Unknown	40798976	()	Unknown	4065	213.65950490425035
19008994	('A03AA04',)	mebeverine	19008994	('A03AA04',)	mebeverine	3996	83.37598710717164
797399	('N02BF01',)	gabapentin	797399	('N02BF01',)	gabapentin	3993	49.26231681786462
1363053	('C02CA04',)	doxazosin	1363053	('C02CA04',)	doxazosin	3992	49.16701291294961
1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	1518254	('A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01')	dexamethasone	3966	129.777182007745
19044883	('N05CF01',)	zopiclone	19044883	('N05CF01',)	zopiclone	3890	84.10962189616252
1741309	('D01AE15', 'D01BA02')	terbinafine	1741309	('D01AE15', 'D01BA02')	terbinafine	3880	161.56739206739206
1153664	('N02AC04',)	propoxyphene	1153664	('N02AC04',)	propoxyphene	3801	85.04769069737014
1760616	('P01BC01',)	quinine	1760616	('P01BC01',)	quinine	3787	55.86158534587279
1361711	('C01DA02', 'C05AE01')	nitroglycerin	1361711	('C01DA02', 'C05AE01')	nitroglycerin	3784	69.59500454132606
19037989	('N06AA16',)	dothiepin	19037989	('N06AA16',)	dothiepin	3780	57.895507091907845
907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	907879	('A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13')	miconazole	3671	162.10679611650485
1738521	('A01AB22', 'J01AA02')	doxycycline	1738521	('A01AB22', 'J01AA02')	doxycycline	3668	130.76387078081993
902251	('S01KA02',)	hypromellose	902251	('S01KA02',)	hypromellose	3549	58.34157867533043
986417	()	Unknown	986417	()	Unknown	3547	63.75725593667546
19010400	()	Unknown	19010400	()	Unknown	3545	176.6660792951542
19045290	()	Unknown	19045290	()	Unknown	3531	211.1796223847593
723013	('N05BA01',)	diazepam	723013	('N05BA01',)	diazepam	3482	93.60402780763994
19009405	()	Unknown	19009405	()	Unknown	3452	162.80003189284005
19005129	('D07AB01', 'S01BA09')	clobetasone	19005129	('D07AB01', 'S01BA09')	clobetasone	3421	142.5723350253807
1336926	('G04BE08',)	tadalafil	1336926	('G04BE08',)	tadalafil	3421	64.33270884782424
1551860	('C10AA03',)	pravastatin	1551860	('C10AA03',)	pravastatin	3342	50.362836246436096
19003568	()	Unknown	19003568	()	Unknown	3320	73.62811747713047
939259	('A07EA06', 'D07AC09', 'R01AD05', 'R03BA02')	budesonide	939259	('A07EA06', 'D07AC09', 'R01AD05', 'R03BA02')	budesonide	3273	79.18597032183465
1140643	('N02CC01',)	sumatriptan	1140643	('N02CC01',)	sumatriptan	3242	73.26314842578711
19049038	('G03CA04', 'G03CC06')	estriol	19049038	('G03CA04', 'G03CC06')	estriol	3172	95.14854058376649
1351557	('C09CA06',)	candesartan	1351557	('C09CA06',)	candesartan	3142	47.806961860658724
1373225	('C09AA04',)	perindopril	1373225	('C09AA04',)	perindopril	3138	49.953986233808465
929549	('G01AD02', 'S02AA10')	acetic acid	929549	('G01AD02', 'S02AA10')	acetic acid	3116	137.23537859007834
19049024	()	Unknown	19049024	()	Unknown	3096	63.656770376862404
989878	('C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01')	lidocaine	989878	('C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01')	lidocaine	3012	157.17470503001448
752061	('N05AB04',)	prochlorperazine	752061	('N05AB04',)	prochlorperazine	2934	110.05748647023452
1360067	()	Unknown	1360067	()	Unknown	2910	184.51615525299735
19136048	()	Unknown	19136048	()	Unknown	2904	63.680718562874254
45775351	()	Unknown	45775351	()	Unknown	2904	63.680718562874254
1786621	('J01DB01',)	cephalexin	1786621	('J01DB01',)	cephalexin	2872	116.39327056644544
722031	('N06AB05',)	paroxetine	722031	('N06AB05',)	paroxetine	2829	67.14931485273272
1707164	('A01AB17', 'D06BX01', 'G01AF01', 'J01XD01', 'P01AB01')	metronidazole	1707164	('A01AB17', 'D06BX01', 'G01AF01', 'J01XD01', 'P01AB01')	metronidazole	2811	142.51145833333334
19111620	('B03BB01', 'V04CX02')	folic acid	19111620	('B03BB01', 'V04CX02')	folic acid	2805	101.95252449133383
42898572	()	Unknown	42898572	()	Unknown	2804	57.99407594444984
1588000	('G03AC09',)	desogestrel	1588000	('G03AC09',)	desogestrel	2797	116.4100384978572
987245	('A06AD11',)	lactulose	987245	('A06AD11',)	lactulose	2796	62.62399014103793
19137031	()	Unknown	19137031	()	Unknown	2787	60.11451267404498
916460	('D08AJ01', 'D09AA11', 'R02AA16')	benzalkonium	916460	('D08AJ01', 'D09AA11', 'R02AA16')	benzalkonium	2765	84.42461649089167
920293	('J01XE01',)	nitrofurantoin	920293	('J01XE01',)	nitrofurantoin	2763	93.35063884845545
739138	('N06AB06',)	sertraline	739138	('N06AB06',)	sertraline	2713	68.37431584568148
964407	('D01AE12', 'S01BC08')	salicylic acid	964407	('D01AE12', 'S01BC08')	salicylic acid	2712	96.79006936838262
19030059	('A02BX13',)	alginic acid	19030059	('A02BX13',)	alginic acid	2690	63.42291933418694
990069	('D06AX02', 'D10AF03', 'G01AA05', 'J01BA01', 'S01AA01', 'S02AA01', 'S03AA08')	chloramphenicol	990069	('D06AX02', 'D10AF03', 'G01AA05', 'J01BA01', 'S01AA01', 'S02AA01', 'S03AA08')	chloramphenicol	2675	216.05109085887875
939506	('B05CB04', 'B05XA02')	sodium bicarbonate	939506	('B05CB04', 'B05XA02')	sodium bicarbonate	2671	70.71227061079156
1790812	('A01AB03', 'B05CA02', 'D08AC02', 'D09AA12', 'R02AA05', 'S01AX09', 'S02AA09', 'S03AA04')	chlorhexidine	1790812	('A01AB03', 'B05CA02', 'D08AC02', 'D09AA12', 'R02AA05', 'S01AX09', 'S02AA09', 'S03AA04')	chlorhexidine	2668	88.26247872943846
1322184	('B01AC04',)	clopidogrel	1322184	('B01AC04',)	clopidogrel	2589	51.33956043956044
954688	('S01EE01',)	latanoprost	954688	('S01EE01',)	latanoprost	2541	53.0267068946251
19040060	('G03DB01',)	dydrogesterone	19040060	('G03DB01',)	dydrogesterone	2520	82.95177926766374
922570	('A07AA02', 'D01AA01', 'G01AA01')	nystatin	922570	('A07AA02', 'D01AA01', 'G01AA01')	nystatin	2500	156.01823118696663
1377023	('B03BA03', 'V03AB33')	hydroxocobalamin	1377023	('B03BA03', 'V03AB33')	hydroxocobalamin	2474	67.57385940657237
996416	('D11AX10', 'G04CB01')	finasteride	996416	('D11AX10', 'G04CB01')	finasteride	2472	48.46957912335538
19010696	()	Unknown	19010696	()	Unknown	2460	183.25546765937645
1759842	()	Unknown	1759842	()	Unknown	2433	153.07911839502685
1152631	('A07EB01', 'D11AH03', 'R01AC01', 'R03BC01', 'S01GX01')	cromolyn	1152631	('A07EB01', 'D11AH03', 'R01AC01', 'R03BC01', 'S01GX01')	cromolyn	2381	103.63589926348301
1318853	('C08CA05',)	nifedipine	1318853	('C08CA05',)	nifedipine	2367	59.85658996551967
1510813	('C10AA07',)	rosuvastatin	1510813	('C10AA07',)	rosuvastatin	2330	49.84706232631997
991876	('A07DA03',)	loperamide	991876	('A07DA03',)	loperamide	2325	62.04968767745599
1353776	('C08CA02',)	felodipine	1353776	('C08CA02',)	felodipine	2305	49.12093431122449
1308738	('B03BA01',)	vitamin B12	1308738	('B03BA01',)	vitamin B12	2305	126.72539624032436
1153428	('R06AX26',)	fexofenadine	1153428	('R06AX26',)	fexofenadine	2270	111.85453172205438
19027080	()	Unknown	19027080	()	Unknown	2269	60.69878391019645
1729720	('J01CE02',)	penicillin V	1729720	('J01CE02',)	penicillin V	2257	128.88846153846154
918906	('G04BD04',)	oxybutynin	918906	('G04BD04',)	oxybutynin	2245	54.64417510853835
19059796	('A10BB09',)	gliclazide	19059796	('A10BB09',)	gliclazide	2244	54.772649082568805
19041933	('G03CX01',)	tibolone	19041933	('G03CX01',)	tibolone	2176	91.44766920663379
1396131	('B03AA07',)	ferrous sulfate	1396131	('B03AA07',)	ferrous sulfate	2161	123.00980392156863
998415	('D07AD01',)	clobetasol	998415	('D07AD01',)	clobetasol	2144	136.65879509111193
1341927	('C09AA02',)	enalapril	1341927	('C09AA02',)	enalapril	2137	54.05863708399366
904453	('A02BC05',)	esomeprazole	904453	('A02BC05',)	esomeprazole	2134	60.03458509302591
908921	('D05AX02',)	calcipotriene	908921	('D05AX02',)	calcipotriene	2123	113.98198594024605
1106776	()	Unknown	1106776	()	Unknown	2120	47.63724766125061
836715	('N05CD07',)	temazepam	836715	('N05CD07',)	temazepam	2119	89.05700883997835
1703687	('D06BB03', 'J05AB01', 'S01AD03')	acyclovir	1703687	('D06BB03', 'J05AB01', 'S01AD03')	acyclovir	2093	97.85429333333333
902427	('C07AA06', 'S01ED01')	timolol	902427	('C07AA06', 'S01ED01')	timolol	2079	55.206855081178595
44814322	()	Unknown	44814322	()	Unknown	2034	293.64036346245814
743670	('N06AX16',)	venlafaxine	743670	('N06AX16',)	venlafaxine	2014	55.50923295454545
978555	('C03BA11',)	indapamide	978555	('C03BA11',)	indapamide	1969	49.44371909000989
1303425	('B02AA02',)	tranexamic acid	1303425	('B02AA02',)	tranexamic acid	1960	120.270205066345
1000995	()	Unknown	1000995	()	Unknown	1917	93.39552952426489
19032619	('D01AE16',)	amorolfine	19032619	('D01AE16',)	amorolfine	1900	134.92836839113133
923840	('C05AD04', 'D04AB02', 'N01BB06', 'S01HA06', 'S02DA04')	dibucaine	923840	('C05AD04', 'D04AB02', 'N01BB06', 'S01HA06', 'S02DA04')	dibucaine	1896	145.17443324937028
1328165	('C05AE03', 'C08DB01')	diltiazem	1328165	('C05AE03', 'C08DB01')	diltiazem	1836	49.088940193491645
1750500	('J01FA09',)	clarithromycin	1750500	('J01FA09',)	clarithromycin	1817	142.7048790162634
725131	('N06AX11',)	mirtazapine	725131	('N06AX11',)	mirtazapine	1792	55.28850531107739
19020124	('N07CA01',)	betahistine	19020124	('N07CA01',)	betahistine	1761	93.00726480203414
1383815	()	Unknown	1383815	()	Unknown	1756	49.48132605958875
1150871	('A02BB01', 'G02AD06')	misoprostol	1150871	('A02BB01', 'G02AD06')	misoprostol	1738	81.98454706927176
1146810	('M01AC01', 'M02AA07', 'S01BC06')	piroxicam	1146810	('M01AC01', 'M02AA07', 'S01BC06')	piroxicam	1731	89.0364659813999
1526475	('C10AX09',)	ezetimibe	1526475	('C10AX09',)	ezetimibe	1728	50.71820905459388
1197736	()	Unknown	1197736	()	Unknown	1728	155.9185482169234
1506270	('D07AA01', 'D10AA02', 'H02AB04')	methylprednisolone	1506270	('D07AA01', 'D10AA02', 'H02AB04')	methylprednisolone	1704	143.9501347708895
949279	()	Unknown	949279	()	Unknown	1701	60.26387959866221
1103006	('R06AX27',)	desloratadine	1103006	('R06AX27',)	desloratadine	1700	109.17781990521327
1347384	('C09CA04',)	irbesartan	1347384	('C09CA04',)	irbesartan	1699	51.306247709783804
19086939	()	Unknown	19086939	()	Unknown	1698	70.02867215041128
734354	('N02BF02',)	pregabalin	734354	('N02BF02',)	pregabalin	1680	48.818301143821486
997276	('A02BA01',)	cimetidine	997276	('A02BA01',)	cimetidine	1676	90.80650759219088
916005	('G04BD08',)	solifenacin	916005	('G04BD08',)	solifenacin	1661	55.92751713231418
43531973	()	Unknown	43531973	()	Unknown	1648	61.11603790452351
1353228	()	Unknown	1353228	()	Unknown	1632	193.307092751364
1436678	('L02BA01',)	tamoxifen	1436678	('L02BA01',)	tamoxifen	1630	62.51096333572969
741530	('A08AB01',)	orlistat	741530	('A08AB01',)	orlistat	1617	72.25585341024771
906780	('A03FA01',)	metoclopramide	906780	('A03FA01',)	metoclopramide	1583	92.05548245614035
985708	('D01AC08', 'G01AF11', 'H02CA03', 'J02AB02')	ketoconazole	985708	('D01AC08', 'G01AF11', 'H02CA03', 'J02AB02')	ketoconazole	1562	108.46284741917187
1797513	('J01MA02', 'S01AE03', 'S02AA15', 'S03AA07')	ciprofloxacin	1797513	('J01MA02', 'S01AE03', 'S02AA15', 'S03AA07')	ciprofloxacin	1561	125.83903133903134
913782	('G04BD07',)	tolterodine	913782	('G04BD07',)	tolterodine	1555	57.36605783866058
1196677	('R03AC13', 'R03CC15')	formoterol	1196677	('R03AC13', 'R03CC15')	formoterol	1552	56.24214417744917
19037833	('A03FA03',)	domperidone	19037833	('A03FA03',)	domperidone	1547	64.69373386528984
740275	('N03AF01',)	carbamazepine	740275	('N03AF01',)	carbamazepine	1545	56.497175451105136
1150345	('M01AC06',)	meloxicam	1150345	('M01AC06',)	meloxicam	1537	62.2139073979156
43532069	()	Unknown	43532069	()	Unknown	1527	79.61249288019745
19087317	()	Unknown	19087317	()	Unknown	1496	69.42997108898169
19124906	()	Unknown	19124906	()	Unknown	1493	166.17935578330892
974166	('C03AA03',)	hydrochlorothiazide	974166	('C03AA03',)	hydrochlorothiazide	1485	54.561798457390104
1118084	('L01XX33', 'M01AH01')	celecoxib	1118084	('L01XX33', 'M01AH01')	celecoxib	1484	65.50721088435374
1754994	('D01AC15', 'J02AC01')	fluconazole	1754994	('D01AC15', 'J02AC01')	fluconazole	1477	118.69632304661852
1305058	('L01BA01', 'L04AX03')	methotrexate	1305058	('L01BA01', 'L04AX03')	methotrexate	1469	49.90807995495496
19058343	()	Unknown	19058343	()	Unknown	1406	78.2657500513031
1398937	('C02AC01', 'N02CX02', 'S01EA04')	clonidine	1398937	('C02AC01', 'N02CX02', 'S01EA04')	clonidine	1405	61.794117647058826
1150836	('R06AX12',)	terfenadine	1150836	('R06AX12',)	terfenadine	1384	177.86846405228758
903963	('A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05')	triamcinolone	903963	('A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05')	triamcinolone	1354	104.67549976754998
1178663	('C01EB03', 'M01AB01', 'M02AA23', 'S01BC01')	indomethacin	1178663	('C01EB03', 'M01AB01', 'M02AA23', 'S01BC01')	indomethacin	1326	128.1716602044413
966282	()	Unknown	966282	()	Unknown	1323	166.48747063429914
904525	('S01EE03',)	bimatoprost	904525	('S01EE03',)	bimatoprost	1313	52.68528693528693
1595799	('B03AA02',)	ferrous fumarate	1595799	('B03AA02',)	ferrous fumarate	1302	88.4061946902655
19086712	('A03AX15',)	peppermint oil	19086712	('A03AX15',)	peppermint oil	1296	74.25872382851446
19009540	('A11HA03',)	vitamin E	19009540	('A11HA03',)	vitamin E	1294	165.3474025974026
948078	('A02BC02',)	pantoprazole	948078	('A02BC02',)	pantoprazole	1293	55.694009799272955
529660	()	Unknown	529660	()	Unknown	1291	279.6661608497724
1112921	()	Unknown	1112921	()	Unknown	1290	64.23800383877159
1567198	('A10AB05', 'A10AD05')	insulin aspart, human	1567198	('A10AB05', 'A10AD05')	insulin aspart, human	1284	52.023004575495676
968426	('A07EC02',)	mesalamine	968426	('A07EC02',)	mesalamine	1255	72.50712321919521
1777087	('P01BA02',)	hydroxychloroquine	1777087	('P01BA02',)	hydroxychloroquine	1249	49.16791140870461
19005046	('A11HA02',)	pyridoxine	19005046	('A11HA02',)	pyridoxine	1229	64.63468486551585
19115055	()	Unknown	19115055	()	Unknown	1226	53.638332430969136
1308842	('C09CA03',)	valsartan	1308842	('C09CA03',)	valsartan	1218	50.453175157013256
19055217	()	Unknown	19055217	()	Unknown	1210	57.72673357664234
19014977	('C01DX16',)	nicorandil	19014977	('C01DX16',)	nicorandil	1206	45.29049511002445
40234201	('A03BB01',)	butylscopolamine	40234201	('A03BB01',)	butylscopolamine	1187	64.75186170212766
19092353	('J01AA04',)	lymecycline	19092353	('J01AA04',)	lymecycline	1186	74.43146490814884
45892419	('D06AX07', 'J01GB03', 'S01AA11', 'S02AA14', 'S03AA06')	gentamicin	45892419	('D06AX07', 'J01GB03', 'S01AA11', 'S02AA14', 'S03AA06')	gentamicin	1169	172.80049627791564
970250	('C03DA01',)	spironolactone	970250	('C03DA01',)	spironolactone	1155	46.445460659045054
991382	('C03DB01',)	amiloride	991382	('C03DB01',)	amiloride	1150	56.86236193712829
1189754	('M01AH02',)	rofecoxib	1189754	('M01AH02',)	rofecoxib	1134	64.92363344051446
703547	('N06AX05',)	trazodone	703547	('N06AX05',)	trazodone	1102	50.14339283035848
19137312	('A11DA01',)	thiamine	19137312	('A11DA01',)	thiamine	1099	68.76734370878397
19018419	('A11HA01',)	niacinamide	19018419	('A11HA01',)	niacinamide	1091	61.3219334245326
1502905	('A10AE04',)	insulin glargine	1502905	('A10AE04',)	insulin glargine	1088	53.33657557511194
19062817	('A11HA04', 'S01XA26')	riboflavin	19062817	('A11HA04', 'S01XA26')	riboflavin	1086	61.31480210478151
911735	('A02BC04',)	rabeprazole	911735	('A02BC04',)	rabeprazole	1059	57.39712918660287
19047076	('N02CX01',)	pizotyline	19047076	('N02CX01',)	pizotyline	1030	62.68742058449809
964339	('A07EC01',)	sulfasalazine	964339	('A07EC01',)	sulfasalazine	1027	62.670146463072605
787787	()	Unknown	787787	()	Unknown	1018	59.7852
745466	()	Unknown	745466	()	Unknown	1015	53.84222067178312
1708880	('A01AB23', 'D10AF07', 'J01AA08')	minocycline	1708880	('A01AB23', 'D10AF07', 'J01AA08')	minocycline	1015	81.53307073691121
19011028	()	Unknown	19011028	()	Unknown	997	74.73093220338983
43013872	()	Unknown	43013872	()	Unknown	994	65.55323881011954
1595461	('G03DC06',)	ethynodiol	1595461	('G03DC06',)	ethynodiol	989	122.4721166032953
1116031	('N02CC03',)	zolmitriptan	1116031	('N02CC03',)	zolmitriptan	963	68.84421598592202
1326303	('C01AA05',)	digoxin	1326303	('C01AA05',)	digoxin	937	46.80836236933798
718583	('N07BA01',)	nicotine	718583	('N07BA01',)	nicotine	936	141.4216691068814
967823	('A12CA01', 'B05CB01', 'B05XA03')	sodium chloride	967823	('A12CA01', 'B05CB01', 'B05XA03')	sodium chloride	932	63.9912625600699
1154161	('R03DC03',)	montelukast	1154161	('R03DC03',)	montelukast	922	54.87746170678337
1596977	('A10AB01', 'A10AC01', 'A10AD01', 'A10AE01', 'A10AF01')	insulin, regular, human	1596977	('A10AB01', 'A10AC01', 'A10AD01', 'A10AE01', 'A10AF01')	insulin, regular, human	921	60.88558600402539
980867	('D08AH30', 'D09AA10', 'G01AC02', 'P01AA02', 'S02AA05')	clioquinol	980867	('D08AH30', 'D09AA10', 'G01AC02', 'P01AA02', 'S02AA05')	clioquinol	907	165.25220750551875
